date,New York-New York City,New York-Nassau,Arizona-Maricopa
2020-01-21,,,
2020-01-24,0,0,0
2020-01-27,0,0,1
2020-01-30,0,0,0
2020-02-02,0,0,0
2020-02-05,0,0,0
2020-02-08,0,0,0
2020-02-11,0,0,0
2020-02-14,0,0,0
2020-02-17,0,0,0
2020-02-20,0,0,0
2020-02-23,0,0,0
2020-02-26,0,0,0
2020-02-29,0,0,0
2020-03-03,2,0,1
2020-03-06,3,4,0
2020-03-09,15,13,0
2020-03-12,76,24,1
2020-03-15,234,57,1
2020-03-18,1009,85,7
2020-03-21,4872,1051,38
2020-03-24,8694,1635,150
2020-03-27,10494,1788,200
2020-03-30,12688,2687,291
2020-04-02,13723,3243,271
2020-04-05,15742,3811,365
2020-04-08,14251,4150,233
2020-04-11,16505,4036,332
