state,county,2020-01-21,2020-01-24,2020-01-27,2020-01-30,2020-02-02,2020-02-05,2020-02-08,2020-02-11,2020-02-14,2020-02-17,2020-02-20,2020-02-23,2020-02-26,2020-02-29,2020-03-03,2020-03-06,2020-03-09,2020-03-12,2020-03-15,2020-03-18,2020-03-21,2020-03-24,2020-03-27,2020-03-30,2020-04-02,2020-04-05,2020-04-08,2020-04-11
New York,New York City,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,76,234,1009,4872,8694,10494,12688,13723,15742,14251,16505
New York,Nassau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,24,57,85,1051,1635,1788,2687,3243,3811,4150,4036
New York,Suffolk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,26,69,546,1218,1505,2406,2955,4187,2911,4039
New York,Westchester,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,64,50,48,342,850,2504,3296,2139,2240,2156,2165,2842
Illinois,Cook,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,16,49,103,369,646,1045,1488,1848,2468,2477,2897
Michigan,Wayne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,10,326,524,937,1385,1874,2449,2108,1325
New Jersey,Bergen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,19,101,229,339,804,977,1617,2088,1687,1488
California,Los Angeles,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,6,13,37,121,161,311,803,1009,1571,1895,1590,1343
New York,Rockland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,17,232,409,786,1054,1240,1611,1051,1064
New Jersey,Essex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,34,62,235,484,738,1053,1465,1516,1409
New Jersey,Hudson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,24,63,137,360,720,956,1654,1513,1414
Florida,Miami-Dade,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,64,93,195,504,831,1185,1260,1315,1297
Pennsylvania,Philadelphia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,52,108,353,542,780,1283,1321,1566
New Jersey,Union,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,22,55,165,273,694,797,1206,1615,1034
Louisiana,Orleans,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63,121,222,257,495,310,1668,918,1004,465
Connecticut,Fairfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,53,71,244,368,693,687,918,1367,990
New Jersey,Middlesex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,31,76,161,363,483,643,1184,1206,1250
New Jersey,Passaic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,13,49,149,268,607,659,1477,1145,923
Massachusetts,Suffolk,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,12,9,20,57,126,397,484,781,762,942,1326
Louisiana,Jefferson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,31,121,127,255,290,1340,910,1004,785
Massachusetts,Middlesex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,34,26,25,77,127,381,456,729,762,913,1327
New York,Orange,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,26,131,335,412,525,613,1054,763,982
Michigan,Oakland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,206,199,396,567,836,847,933,795
Washington,King,,0,0,0,0,0,0,0,0,0,0,0,0,4,18,37,58,154,150,142,372,343,552,502,326,511,521,574
New Jersey,Monmouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,21,60,196,346,396,428,896,684,613
Texas,Harris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,4,15,40,66,95,334,332,500,946,1220
New Jersey,Ocean,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,46,118,304,390,497,806,679,547
Michigan,Macomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,91,124,179,324,604,671,623,538
New Jersey,Morris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,45,140,187,329,362,718,668,457
Massachusetts,Essex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,27,77,232,303,386,467,597,793
Florida,Broward,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,25,43,84,148,319,506,344,405,479,479
Indiana,Marion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,35,115,323,320,500,456,530,452
Connecticut,New Haven,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,65,133,151,274,515,783,770
Massachusetts,Norfolk,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,14,7,14,24,60,264,235,310,333,507,617
Nevada,Clark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,8,53,57,123,194,310,372,394,359,380
Pennsylvania,Montgomery,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,11,18,35,67,230,166,195,376,410,532
Maryland,Prince George's,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,11,16,27,85,146,179,312,525,613
Arizona,Maricopa,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,38,150,200,291,271,365,233,332
Washington,Snohomish,,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,27,62,68,134,137,167,300,213,249,183,136,140
Connecticut,Hartford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,24,53,101,141,209,212,539,542
Massachusetts,Worcester,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,14,49,146,171,277,311,318,526
Massachusetts,Plymouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,15,44,123,193,241,342,364,482
District of Columbia,District of Columbia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,19,62,85,121,191,158,345,442,338
California,San Diego,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,35,41,78,83,175,186,363,360,204,231
New York,Dutchess,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,29,75,101,167,275,410,318,349
Wisconsin,Milwaukee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,79,117,225,195,206,279,269,236
Texas,Dallas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,20,61,74,198,182,282,281,212,324
New Jersey,Somerset,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,68,120,127,200,284,356,453
Pennsylvania,Lehigh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,14,66,138,248,398,442,301
Missouri,St. Louis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,16,46,179,119,346,171,419,266
California,Santa Clara,,0,0,0,2,0,0,0,0,0,0,0,0,2,7,13,19,23,48,61,88,112,199,274,171,188,173,186
Massachusetts,Hampden,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,15,66,165,291,222,313,464
Maryland,Montgomery,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,6,19,37,39,101,133,157,195,395,449
Pennsylvania,Delaware,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,19,51,101,118,167,238,326,476
Florida,Palm Beach,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,36,46,139,221,273,263,224,277
New York,Erie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,31,69,112,224,291,325,146,267
Georgia,Fulton,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,14,29,51,91,156,156,244,223,291,185
New Jersey,Mercer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,15,28,73,118,137,268,338,442
California,Riverside,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,4,14,29,126,106,202,306,380,252
Pennsylvania,Luzerne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,15,34,95,234,357,393,238
Illinois,Lake,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,45,48,119,113,197,202,299,290
Georgia,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,52,138,-103,551,-382,588,429
Rhode Island,Providence,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,172,204,120,294,446
Tennessee,Davidson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,41,82,113,59,131,342,139,216,116
California,Orange,,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,11,25,36,74,169,143,192,178,182,205
Massachusetts,Bristol,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,17,98,134,161,235,176,356
Colorado,Denver,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,19,17,53,78,136,153,178,182,102,255
New Jersey,Camden,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,5,36,44,105,143,213,282,342
Maryland,Baltimore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,12,23,61,83,167,237,276,307
Pennsylvania,Bucks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,22,33,59,125,121,264,297,239
Louisiana,East Baton Rouge,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,40,66,64,137,331,279,223
Tennessee,Shelby,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,38,93,88,173,242,116,158,235
Illinois,Will,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,80,120,160,284,246,212
Ohio,Cuyahoga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,24,54,75,163,163,170,163,134,153
Georgia,Dougherty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,40,54,102,75,243,167,313,101
Utah,Salt Lake,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,11,9,36,67,85,151,113,265,127,203
Illinois,DuPage,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,23,35,96,121,128,208,219,173
Pennsylvania,Northampton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,16,46,105,194,258,221,182
New Jersey,Burlington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,10,22,46,90,116,253,254,230
Colorado,Arapahoe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,7,18,29,86,153,133,167,156,234
Louisiana,Caddo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,9,25,100,82,114,311,156,171
Virginia,Fairfax,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,8,24,78,101,103,98,144,376
North Carolina,Mecklenburg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,30,63,114,164,113,169,166,105
Pennsylvania,Berks,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,49,17,86,108,140,514
Washington,Pierce,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,12,27,39,43,93,121,146,196,107,127
New Jersey,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,150,494,1339,1856,1026,-1045,-2459,-438
Florida,Orange,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,18,21,124,125,241,172,111,99
Michigan,Genesee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,57,59,199,155,209,206
Ohio,Franklin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,54,77,129,160,156,164,133
California,San Francisco,,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,11,5,16,14,33,68,130,92,76,121,108,181
Georgia,DeKalb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,8,24,65,112,75,115,140,183,116
Louisiana,St. Tammany,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,30,59,75,213,161,173,112
Pennsylvania,Allegheny,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,19,27,100,132,129,186,115,116
California,Alameda,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,21,5,8,16,34,64,90,63,113,170,108,132
California,San Bernardino,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,29,26,47,193,68,269,169
Delaware,New Castle,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,12,39,35,50,89,191,200,171
Puerto Rico,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,18,40,95,142,159,145,168
