date,China-Hubei,Japan-,China-Hong Kong
2020-01-28,3554,7,8
2020-02-04,13124,15,9
2020-02-11,16688,4,32
2020-02-18,28316,48,13
2020-02-25,3104,96,22
2020-03-03,2431,123,16
2020-03-10,543,288,20
2020-03-17,39,297,42
2020-03-24,2,315,224
2020-03-31,0,760,328
2020-04-07,2,1953,221
2020-04-14,0,3739,77
2020-04-21,325,3490,17
2020-04-28,0,2601,8
2020-05-05,0,1517,3
2020-05-12,6,715,7
2020-05-19,1,399,8
2020-05-26,0,256,10
2020-06-02,0,214,28
2020-06-09,0,274,14
2020-06-16,0,373,5
2020-06-23,0,395,65
