date,Czechia-,West Bank and Gaza-,Indonesia-,Libya-,United Arab Emirates-,Paraguay-,Venezuela-,Israel-,Nepal-,United Kingdom-,Ukraine-,Argentina-,US-Texas-Harris,Turkey-,Costa Rica-
2020-03-12,82,26,32,0,56,5,0,80,0,1493,0,18,5,1,22
2020-03-19,600,14,277,0,55,6,42,327,0,4719,15,78,26,191,47
2020-03-26,1231,40,582,1,193,30,65,2266,2,14310,180,405,168,3437,162
2020-04-02,1933,77,897,10,691,36,39,4164,3,27447,701,631,692,14506,165
2020-04-09,1711,102,1503,13,1966,47,25,3111,3,33235,995,662,2152,24147,143
2020-04-16,864,31,2223,25,2835,50,33,2790,7,30258,2269,776,1259,31911,103
2020-04-23,754,42,2259,11,2931,39,107,2045,32,33784,3009,864,1024,27597,44
2020-04-30,495,8,2343,1,3725,53,22,1143,9,32003,3236,993,1026,18414,33
2020-05-07,349,31,2658,3,3759,196,48,435,44,25582,3285,943,1021,13517,46
2020-05-14,320,0,3230,0,4844,292,74,198,148,20399,3156,1763,1440,11028,65
2020-05-21,403,48,4156,7,5814,82,427,104,208,17271,2859,2797,1466,8799,73
2020-05-28,386,23,4376,34,5634,64,443,189,585,11678,2676,4771,1487,7431,97
2020-06-04,354,18,4280,104,4486,186,762,623,1592,9149,3599,5495,1833,6431,194
2020-06-11,361,23,6477,184,3968,144,727,1074,1980,7035,3725,7176,2261,6613,344
2020-06-18,425,113,7467,117,2766,100,669,1467,3234,6867,5127,10137,2688,10008,401
2020-06-25,590,782,7425,188,2811,239,1080,2364,3314,5513,6021,14947,8465,9084,745
2020-07-02,1308,1698,9207,193,2906,734,1710,4647,3357,2737,5967,17484,7091,9169,1339
2020-07-09,741,2140,11342,451,4108,335,2099,7778,2012,3847,5464,20752,6811,7678,2462
2020-07-16,693,2192,10932,310,2552,704,2482,11234,813,4931,5355,24090,11050,6911,3061
2020-07-23,1188,2332,11989,662,1859,771,2759,11923,897,4594,5529,33244,9447,6442,3583
2020-07-30,1571,1804,12679,1124,2235,1094,4246,12054,1306,5155,7131,37346,9434,6576,4161
2020-08-06,1360,1850,12417,1441,1622,1168,5421,9523,2203,5833,8215,42822,11069,7374,3780
2020-08-13,1670,2093,14063,2171,1644,2014,7089,10263,3207,6793,9621,47877,7506,8370,5059
2020-08-20,1644,2498,14395,2657,2313,3428,7198,9777,4688,7353,12674,44812,6206,8885,4946
2020-08-27,2124,2688,15673,2567,2709,3473,5331,10804,5884,8088,13853,59408,6039,9478,6217
2020-09-03,3283,3794,21384,3499,3643,4669,6979,14052,7348,10043,16637,70906,7149,10945,7166
