date,US-New York-New York City,Israel-,US-Arizona-Maricopa,US-New York-Nassau,China-Hong Kong,Singapore-
2020-03-11,50,64,1,28,21,68
2020-03-18,1292,225,8,155,55,135
2020-03-25,18717,2065,240,3102,229,318
2020-04-01,27853,3723,620,6270,355,369
2020-04-08,35759,3312,688,8993,195,623
2020-04-15,37980,3097,587,8167,57,2076
2020-04-22,25134,1997,700,4840,16,6442
2020-04-29,23337,1336,877,3950,4,5500
2020-05-06,13646,476,1415,1845,3,4557
2020-05-13,8624,238,1203,1237,10,5148
2020-05-20,6998,119,1303,781,5,4018
2020-05-27,5389,126,983,666,11,3512
2020-06-03,4907,584,2441,610,27,3529
2020-06-10,3196,978,4214,371,14,2560
