nation,state,county,2020-01-23,2020-01-30,2020-02-06,2020-02-13,2020-02-20,2020-02-27,2020-03-05,2020-03-12,2020-03-19,2020-03-26,2020-04-02,2020-04-09,2020-04-16,2020-04-23,2020-04-30,2020-05-07,2020-05-14,2020-05-21,2020-05-28,2020-06-04,2020-06-11,2020-06-18,2020-06-25,2020-07-02,2020-07-09,2020-07-16,2020-07-23,2020-07-30,2020-08-06,2020-08-13,2020-08-20,2020-08-27,2020-09-03
US,,,,0.571428571428571,0.857142857142857,0.285714285714286,0,0.428571428571429,22.2857142857143,194,1592,10133.8571428571,22999.8571428571,31404.5714285714,29261.4285714286,28906.4285714286,28721.4285714286,26963.1428571429,23188.2857142857,22969.2857142857,20821.1428571429,21203.2857142857,20710.4285714286,23920.4285714286,33028.5714285714,45678.5714285714,53699.5714285714,65458.7142857143,66094.1428571429,65171.2857142857,55509.5714285714,52196.5714285714,46412.7142857143,41991.1428571429,40318.7142857143
Brazil,,,,0,0,0,0,0.142857142857143,0.428571428571429,6.85714285714286,81.2857142857143,337.714285714286,722.714285714286,1435.42857142857,1761.85714285714,2801.57142857143,5307.28571428571,6940.85714285714,9627.42857142857,15274.5714285714,18307.2857142857,25243.2857142857,26841,25044.8571428571,35710.2857142857,38392,36988.7142857143,36624.5714285714,39332,46089.5714285714,43158.5714285714,44666.2857142857,39585.5714285714,37059.4285714286,40035.2857142857
India,,,,0.142857142857143,0.285714285714286,0,0,0,3.85714285714286,6.14285714285714,17.2857142857143,76.1428571428571,259.428571428571,597.428571428571,957.857142857143,1378.14285714286,1683.71428571429,3069.71428571429,3663.71428571429,5175.57142857143,6737.14285714286,8761,10117.4285714286,11856.7142857143,15695.5714285714,19306.1428571429,24036.8571428571,30004.2857142857,40610.8571428571,49519.7142857143,56046.8571428571,62016.5714285714,63519.2857142857,68810.7142857143,78463.8571428571
Russia,,,,0,0.285714285714286,0,0,0,0.285714285714286,3.42857142857143,24.4285714285714,91.5714285714286,386.857142857143,940.428571428571,2543.85714285714,4976.42857142857,6246.42857142857,10094.5714285714,10726.4285714286,9329.85714285714,8785.28571428571,8783.85714285714,8751.71428571429,8360.14285714286,7546.71428571429,6726.14285714286,6572.71428571429,6481.71428571429,6015.42857142857,5610.42857142857,5313.42857142857,5082.14285714286,4867.28571428571,4734.14285714286,4850.14285714286
Peru,,,,0,0,0,0,0,0,2.14285714285714,31.2857142857143,49.4285714285714,119.142857142857,548.857142857143,1033.57142857143,1203.28571428571,2294.57142857143,3078.57142857143,3154,4023.57142857143,4715.71428571429,5917,4512.85714285714,4228.57142857143,3459.14285714286,3343.14285714286,3492,3591.14285714286,4215.71428571429,4226.71428571429,7818,6163.71428571429,8552.14285714286,7851.14285714286,6250.14285714286
Colombia,,,,0,0,0,0,0,0,1.28571428571429,14.1428571428571,54.7142857142857,95.7142857142857,151.714285714286,144.285714285714,189.714285714286,278,421.285714285714,593.428571428571,674.285714285714,1005.14285714286,1393.42857142857,1441.71428571429,2143.57142857143,2911.71428571429,3644.42857142857,3980.42857142857,5604.71428571429,7595.28571428571,8521,10241.4285714286,10870.7142857143,11416.2857142857,9753.71428571429,8511.28571428571
South Africa,,,,0,0,0,0,0,0.142857142857143,2.28571428571429,19,111,76.4285714285714,67.4285714285714,95.8571428571429,192.571428571429,242,369.285714285714,643.857142857143,914,1180.85714285714,1912.71428571429,2539.42857142857,3617.42857142857,4926.42857142857,7098,10039.7142857143,12268.8571428571,11975.8571428571,10588.1428571429,8002.14285714286,4954.42857142857,3867.85714285714,2620.85714285714,2104.14285714286
Mexico,,,,0,0,0,0,0,0.714285714285714,1,21.7142857142857,60.1428571428571,132.142857142857,275.857142857143,408,762.285714285714,1084.42857142857,1484.57142857143,1854.14285714286,2424.57142857143,3119,3468.57142857143,4042,4497.28571428571,5356.57142857143,5080,6253.14285714286,5965.42857142857,6667.28571428571,6495.28571428571,6644.42857142857,6151.57142857143,5436.42857142857,5158.28571428571,5282.85714285714
Spain,,,,0,0.142857142857143,0.142857142857143,0,1.85714285714286,34.8571428571429,288.285714285714,2240.85714285714,5689,7754.14285714286,5879.57142857143,4532.28571428571,4010.85714285714,58.7142857142857,1144.57142857143,1156.14285714286,499.571428571429,695.571428571429,393.428571428571,292.428571428571,365.857142857143,316.857142857143,373.857142857143,421.857142857143,828.428571428571,1615.85714285714,2180.57142857143,3489.28571428571,3925.57142857143,5796,7371.57142857143,8429.42857142857
Argentina,,,,0,0,0,0,0,0.142857142857143,2.57142857142857,11.1428571428571,57.8571428571429,90.1428571428571,94.5714285714286,110.857142857143,123.428571428571,141.857142857143,134.714285714286,251.857142857143,399.571428571429,681.571428571429,785,1025.14285714286,1448.14285714286,2135.28571428571,2497.71428571429,2964.57142857143,3441.42857142857,4749.14285714286,5335.14285714286,6117.42857142857,6839.57142857143,6401.71428571429,8486.85714285714,10129.4285714286
Chile,,,,0,0,0,0,0.285714285714286,1.57142857142857,3.14285714285714,32.8571428571429,156.571428571429,307,379.428571428571,440,490.571428571429,717.428571428571,1379.57142857143,2095.71428571429,3448.57142857143,5095.42857142857,5759.57142857143,6363.42857142857,5486.42857142857,4851.57142857143,3639.57142857143,3096.42857142857,2497.42857142857,2151.57142857143,2111,1876.42857142857,1909,1687.85714285714,1750.42857142857,1771.28571428571
Iran,,,,0,0,0,0.714285714285714,34.2857142857143,466.857142857143,937.428571428571,1190.28571428571,1571.28571428571,3008.85714285714,2250.28571428571,1682.14285714286,1290.14285714286,1087.71428571429,1213.57142857143,1628.28571428571,2115.42857142857,2072.57142857143,2917.28571428571,2269.42857142857,2498.71428571429,2492.71428571429,2538.14285714286,2513.57142857143,2371.85714285714,2424.71428571429,2499.42857142857,2655.28571428571,2315.28571428571,2319.14285714286,2176.85714285714,1850
