nation,state,county,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30
US,,,,0.000610086064841167,0.000610086064841167,0.000406724043227445,0.000406724043227445,0.00305043032420584,0.0856154110993771,0.511862208401739,6.26212673155135,21.8500290502648,39.9337934602434,44.5259112703029,40.6425101055673,43.1418293511999,39.2677828394585,35.0744579537835,32.3443228136193,32.1631272523615,30.0640244652646,29.5375201913067,30.5034897939719,38.1102462124332,54.5207479085741,69.3993234958989,84.1548650601474,95.2380952380952,93.6813589626422,88.3097545237373,76.6048466457163,72.8745770832558,60.6897348342264,59.9482769034228
Brazil,,,,0,0,0,0,0.000593935150002777,0.00534541635002499,0.0421693956501971,0.411003123801921,0.804782128253762,2.04135511055954,3.28505531466536,4.88868021967285,7.25966933848394,11.5003663095038,18.0773071930595,23.2766154961838,36.2689469024946,45.0315691380605,52.5362367259206,52.2264995451942,64.0609543765745,77.4497374955121,76.8884687787594,77.6944387773132,69.4036980184244,95.2380952380952,93.4218415493867,89.6084809187939,90.5082926710481,78.8704303743187,76.1804980799561
India,,,,0.000369930666669626,0.000184965333334813,0,0,0,0.00665875200005327,0.0136874346667762,0.0523451893337521,0.116158229334263,0.474251114670461,1.03895027734165,1.55555845334578,1.9005188000152,2.70326834668829,4.56050525870315,5.27835571737556,7.92354494939672,9.63169980274372,12.3699265974323,13.8609321494442,17.1755109228041,22.7573947521821,27.577406373554,33.4493158456009,44.3828016643551,58.709846453803,68.0818549285447,76.0908538619421,80.0139685819734,84.8408239206787,95.2380952380952
Russia,,,,0.00253964867770017,0,0,0,0,0.0190473650827513,0.0584119195871039,0.386026599010426,1.48188500343805,4.89517282626708,13.1820464616027,34.3906525690769,48.3752280128328,68.2378203211259,95.2380952380952,91.5086211548925,79.654810951727,77.9189610805189,77.7513442677907,77.7056305915921,70.6174711321309,63.0899524514276,59.326193111076,58.0982729754079,56.2214726025875,51.7605797002072,48.5123690414287,46.273668732036,44.4451216840918,42.6775262044125,42.0845182381695
Peru,,,,0,0,0,0,0,0.00961466813771089,0.0592904535158838,0.512782300677914,0.783595453223438,2.28989346146481,8.39360528422161,12.9942239881163,19.0514649148741,29.5026091805659,34.2586650193535,40.006634121015,44.3652836767773,71.336030247746,51.3407254106865,53.2348150338156,40.3816061783857,39.2326533359293,37.335358823421,37.8305142325131,43.6890520177583,35.8482901514551,84.7516971892319,78.7986151672992,76.5632048252814,95.2380952380952,86.8508997326321
South Africa,,,,0,0,0,0,0,0.00324358338117619,0.051897334098819,0.24110636466743,1.08768162715442,0.405447922647024,0.560058730483089,1.06497654348618,1.50069791102418,2.41863200789704,3.49442049598715,5.94656953215634,7.6418824460511,10.9200640499598,16.868795971037,23.5192230969085,29.4776857681292,44.1473322067287,63.3752944903411,85.9463100454858,95.2380952380952,87.6902767100982,71.4150564978165,52.3017008270056,29.7177109383362,24.2490293576732,16.5238949381719
Colombia,,,,0,0,0,0,0,0.00117794579211259,0.0388722111397156,0.232055321046181,0.554812468085031,0.92233155522416,1.52072801761736,1.19679292478639,1.86939997208268,2.69631791814572,3.99912596422225,5.31371346821991,6.59767438162263,9.66857906166016,11.6062998896854,13.7854996050937,20.8649538156904,27.2305728762668,29.8503243179252,39.2668229800733,55.1667352820091,60.8974415606368,80.8954272733323,82.2559546632224,95.2380952380952,85.7626992863415,78.6455508103973
Mexico,,,,0,0,0,0,0.00981229087555071,0.00392491635022029,0.0902730760550666,0.516126500053968,1.32858418454957,2.25682690137666,4.94146968492734,7.06484943039651,12.5911316515067,17.2578571919186,22.6683543806973,27.8610187120387,38.0736510553119,43.260428012128,51.8854316917371,58.351731378725,66.1505401666127,71.250968963724,78.4904771717053,84.1933806285754,87.2783648798485,90.8461138421987,95.2380952380952,80.9160754761414,82.1955982063132,74.5773355705357,70.0146203134046
Spain,,,,0.00178911360155724,0.00178911360155724,0,0,0.146707315327694,1.05378791131722,12.7474344110954,37.5177122246554,91.856670531152,92.2037585698541,62.9499620707916,56.9707444143873,16.0304578699529,17.5905649305108,12.3162580331201,11.3572931426854,9.07796241430146,6.6322441209727,3.70525426882505,4.25451214450313,4.19368228205018,4.46920577669,3.17567664276411,6.01678904203701,11.3555040290838,21.7663560765454,28.8065180986732,46.2306954642392,50.9020710779052,77.3630612449368,95.2380952380952
Chile,,,,0,0,0,0.00440855877600774,0.0154299557160271,0.0242470732680426,0.178546630428314,1.29170772137027,3.43426728651003,5.33435611896937,6.58418253196756,7.28293909796479,8.93614863896769,16.3800001322568,25.1596449346762,40.8100285895037,69.7147442043984,87.1880669131051,95.2380952380952,92.1741468887699,74.4671705649348,65.3061854283907,51.9107795874911,43.0032865805675,35.0237951959935,32.7555917057375,30.729858948162,29.3720228451516,28.4131613113699,25.8319501480174,27.1324749869396
