key,nation,state,county,date,Cases,Delta,DeltaNormal,7DayDelta,7DayDeltaNormal,DoubleSpeed,Acceleration
Afghanistan,Afghanistan,,,2020-04-23,1279,103,10.7207910486599,,,10.4284590139511,
Afghanistan,Afghanistan,,,2020-04-24,1351,72,7.49414519906323,,,10.7796481658387,
Afghanistan,Afghanistan,,,2020-04-25,1463,112,11.6575591985428,,,10.7410961326116,
Afghanistan,Afghanistan,,,2020-04-26,1531,68,7.07780379911527,,,11.2553278279932,
Afghanistan,Afghanistan,,,2020-04-27,1703,172,17.9026801977622,,,10.8202264261914,
Afghanistan,Afghanistan,,,2020-04-28,1828,125,13.0106687483737,736,14.1606541606542,10.7006300856917,
Afghanistan,Afghanistan,,,2020-04-29,1939,111,11.5534738485558,,,10.4127017765959,
Afghanistan,Afghanistan,,,2020-04-30,2171,232,24.1478011969815,,,9.09576302844472,
Afghanistan,Afghanistan,,,2020-05-01,2335,164,17.0699973978662,,,9.09788608033253,
Afghanistan,Afghanistan,,,2020-05-02,2469,134,13.9474368982566,,,9.42177978400274,
Afghanistan,Afghanistan,,,2020-05-03,2704,235,24.4600572469425,,,8.99070968237577,
Afghanistan,Afghanistan,,,2020-05-04,2894,190,19.776216497528,,,9.13807274473637,
Afghanistan,Afghanistan,,,2020-05-05,3224,330,34.3481654957065,1396,26.8590668590669,8.51578482760267,
Afghanistan,Afghanistan,,,2020-05-06,3392,168,17.4863387978142,,,9.03868557608019,
Afghanistan,Afghanistan,,,2020-05-07,3563,171,17.7985948477752,,,9.36377773873236,
Afghanistan,Afghanistan,,,2020-05-08,3778,215,22.3783502472027,,,9.44316930665437,
Afghanistan,Afghanistan,,,2020-05-09,4033,255,26.5417642466823,,,9.65322496475708,
Afghanistan,Afghanistan,,,2020-05-10,4402,369,38.4074941451991,,,9.81154685809865,
Afghanistan,Afghanistan,,,2020-05-11,4687,285,29.664324746292,,,9.93488241301265,
Afghanistan,Afghanistan,,,2020-05-12,4963,276,28.7275565964091,1739,33.4583934583935,9.94445595991231,
Afghanistan,Afghanistan,,,2020-05-13,5226,263,27.3744470465782,,,10.3765240630687,
Afghanistan,Afghanistan,,,2020-05-14,5639,413,42.9872495446266,,,10.384052946358,
Afghanistan,Afghanistan,,,2020-05-15,6053,414,43.0913348946136,,,10.5854243102794,
Afghanistan,Afghanistan,,,2020-05-16,6402,349,36.3257871454593,,,11.0663025720021,
Afghanistan,Afghanistan,,,2020-05-17,6664,262,27.2703616965912,,,11.351340258642,
Afghanistan,Afghanistan,,,2020-05-18,7072,408,42.4668227946916,,,11.154661483802,
Afghanistan,Afghanistan,,,2020-05-19,7653,581,60.4735883424408,2690,51.7556517556518,10.8047059275728,
Afghanistan,Afghanistan,,,2020-05-20,8145,492,51.2099921935988,,,10.8886725728834,
Afghanistan,Afghanistan,,,2020-05-21,8676,531,55.2693208430913,,,11.1672852896893,
Afghanistan,Afghanistan,,,2020-05-22,9216,540,56.2060889929742,,,11.2709673721861,
Afghanistan,Afghanistan,,,2020-05-23,9998,782,81.3947436898257,,,10.8600292828574,
Afghanistan,Afghanistan,,,2020-05-24,10582,584,60.7858443924018,,,10.8374835270381,
Afghanistan,Afghanistan,,,2020-05-25,11173,591,61.5144418423107,,,11.1229779223267,
Afghanistan,Afghanistan,,,2020-05-26,11831,658,68.488160291439,4178,80.3848003848004,11.3243313612776,
Afghanistan,Afghanistan,,,2020-05-27,12456,625,65.0533437418683,,,11.4915616319415,
Afghanistan,Afghanistan,,,2020-05-28,13036,580,60.3695029924538,,,11.5522967054973,
Afghanistan,Afghanistan,,,2020-05-29,13659,623,64.8451730418944,,,11.5871735520792,
Afghanistan,Afghanistan,,,2020-05-30,14525,866,90.1379130887328,,,11.6633399024806,
Afghanistan,Afghanistan,,,2020-05-31,15205,680,70.7780379911527,,,12.0838533007584,
Afghanistan,Afghanistan,,,2020-06-01,15750,545,56.7265157429092,,,12.5410518909774,
Afghanistan,Afghanistan,,,2020-06-02,16509,759,79.0007806401249,4678,90.00481000481,12.7885523159709,
Afghanistan,Afghanistan,,,2020-06-03,17267,758,78.8966952901379,,,13.0777531954186,
Afghanistan,Afghanistan,,,2020-06-04,18054,787,81.9151704397606,,,13.3431739363936,
Afghanistan,Afghanistan,,,2020-06-05,18969,915,95.2380952380952,,,13.6473921449265,
Afghanistan,Afghanistan,,,2020-06-06,19551,582,60.5776736924278,,,14.2763349797272,
Afghanistan,Afghanistan,,,2020-06-07,20342,791,82.3315118397086,,,14.6978042877411,
Afghanistan,Afghanistan,,,2020-06-08,20917,575,59.8490762425189,,,15.2067910787431,
