date,China-Hubei,Japan-,China-Hong Kong
2020-01-22,444,2,0
2020-01-23,0,0,2
2020-01-24,105,0,0
2020-01-25,212,0,3
2020-01-26,297,2,3
2020-01-27,365,0,0
2020-01-28,2131,3,0
2020-01-29,0,0,2
2020-01-30,1349,4,0
2020-01-31,903,4,2
2020-02-01,1347,5,1
2020-02-02,4024,0,2
2020-02-03,2345,0,0
2020-02-04,3156,2,2
2020-02-05,2987,1,4
2020-02-06,2447,0,3
2020-02-07,2841,0,1
2020-02-08,2147,1,1
2020-02-09,2531,0,3
2020-02-10,2097,2,9
2020-02-11,1638,1,11
2020-02-12,0,1,1
2020-02-13,14840,5,3
2020-02-14,6200,10,3
2020-02-15,1843,11,0
2020-02-16,1933,6,1
2020-02-17,1807,7,3
2020-02-18,1693,12,2
2020-02-19,349,6,1
2020-02-20,411,10,5
2020-02-21,220,17,0
2020-02-22,1422,25,1
2020-02-23,0,12,5
2020-02-24,203,11,5
2020-02-25,499,13,5
2020-02-26,401,19,7
2020-02-27,409,26,1
2020-02-28,318,18,2
2020-02-29,423,9,1
2020-03-01,570,14,1
2020-03-02,196,19,4
2020-03-03,114,20,0
2020-03-04,115,35,5
2020-03-05,134,32,0
2020-03-06,126,55,2
2020-03-07,74,46,1
2020-03-08,41,33,6
2020-03-09,36,28,1
2020-03-10,17,58,5
2020-03-11,13,55,6
2020-03-12,8,56,3
2020-03-13,5,37,5
2020-03-14,4,62,6
2020-03-15,4,31,5
2020-03-16,4,17,10
2020-03-17,1,50,7
2020-03-18,1,35,19
2020-03-19,0,40,27
2020-03-20,0,54,48
2020-03-21,0,37,17
2020-03-22,0,45,44
2020-03-23,0,40,39
2020-03-24,1,73,30
2020-03-25,0,97,24
2020-03-26,0,102,43
2020-03-27,0,114,66
2020-03-28,0,198,42
2020-03-29,0,179,80
2020-03-30,0,94,41
2020-03-31,0,254,32
2020-04-01,1,280,51
2020-04-02,0,283,37
2020-04-03,0,336,43
2020-04-04,1,371,17
2020-04-05,0,351,28
2020-04-06,0,234,24
2020-04-07,0,375,21
2020-04-08,0,535,25
2020-04-09,0,594,13
2020-04-10,0,636,16
2020-04-11,0,701,11
2020-04-12,0,522,4
2020-04-13,0,300,5
2020-04-14,0,504,3
2020-04-15,0,558,5
2020-04-16,0,563,0
2020-04-17,325,560,4
2020-04-18,0,590,3
2020-04-19,0,366,1
2020-04-20,0,344,0
2020-04-21,0,383,4
2020-04-22,0,396,4
2020-04-23,0,432,2
2020-04-24,0,385,0
2020-04-25,0,332,2
2020-04-26,0,219,0
2020-04-27,0,171,0
2020-04-28,0,284,0
2020-04-29,0,216,0
2020-04-30,0,208,0
2020-05-01,0,274,2
2020-05-02,0,303,0
2020-05-03,0,200,0
2020-05-04,0,168,1
2020-05-05,0,125,0
2020-05-06,0,101,0
2020-05-07,0,98,4
2020-05-08,0,87,0
2020-05-09,1,115,0
2020-05-10,5,69,3
2020-05-11,0,37,0
2020-05-12,0,87,0
2020-05-13,0,50,3
2020-05-14,0,98,1
2020-05-15,0,52,1
2020-05-16,0,54,0
2020-05-17,0,24,3
2020-05-18,1,33,0
2020-05-19,0,28,0
2020-05-20,0,34,0
2020-05-21,0,41,0
2020-05-22,0,23,10
2020-05-23,0,25,0
2020-05-24,0,41,0
2020-05-25,0,21,0
2020-05-26,0,30,0
2020-05-27,0,26,1
2020-05-28,0,70,0
2020-05-29,0,75,13
2020-05-30,0,43,3
2020-05-31,0,35,2
2020-06-01,0,36,3
2020-06-02,0,50,6
2020-06-03,0,30,0
2020-06-04,0,44,6
2020-06-05,0,47,3
2020-06-06,0,42,3
2020-06-07,0,39,1
2020-06-08,0,21,1
2020-06-09,0,51,0
2020-06-10,0,35,0
2020-06-11,0,41,0
2020-06-12,0,63,1
2020-06-13,0,43,1
2020-06-14,0,76,0
2020-06-15,0,70,3
2020-06-16,0,45,0
2020-06-17,0,46,8
2020-06-18,0,58,4
2020-06-19,0,70,0
2020-06-20,0,67,4
2020-06-21,0,55,3
2020-06-22,0,40,30
2020-06-23,0,59,16
2020-06-24,0,84,2
2020-06-25,0,92,14
2020-06-26,0,107,3
2020-06-27,0,92,1
2020-06-28,0,112,2
2020-06-29,0,110,4
2020-06-30,0,139,2
2020-07-01,0,223,28
2020-07-02,0,217,9
2020-07-03,0,130,5
2020-07-04,0,276,11
2020-07-05,0,207,10
2020-07-06,0,180,17
2020-07-07,0,207,14
2020-07-08,0,206,24
2020-07-09,0,356,42
2020-07-10,0,427,0
2020-07-11,0,386,66
2020-07-12,0,411,38
2020-07-13,0,284,0
2020-07-14,0,312,100
2020-07-15,0,735,19
2020-07-16,0,338,67
2020-07-17,0,594,58
2020-07-18,0,842,0
2020-07-19,0,500,64
2020-07-20,0,260,108
2020-07-21,0,757,73
2020-07-22,0,673,173
2020-07-23,0,978,118
2020-07-24,0,769,123
2020-07-25,0,801,133
2020-07-26,0,864,128
2020-07-27,0,594,145
2020-07-28,0,974,106
