date,US-New York-New York City,Japan-,US-New York-Nassau
2020-03-07,7,41,0
2020-03-08,2,41,1
2020-03-09,6,9,12
2020-03-10,17,70,2
2020-03-11,15,58,9
2020-03-12,44,0,13
2020-03-13,59,62,10
2020-03-14,114,72,28
2020-03-15,61,66,19
2020-03-16,134,0,11
2020-03-17,181,39,22
2020-03-18,694,11,52
2020-03-19,1129,35,199
2020-03-20,1940,39,372
2020-03-21,1803,44,480
2020-03-22,2834,94,666
2020-03-23,3260,27,542
2020-03-24,2600,65,427
2020-03-25,5106,114,416
2020-03-26,3101,80,629
2020-03-27,2287,81,743
2020-03-28,5367,225,880
2020-03-29,3002,173,908
2020-03-30,4319,0,899
2020-03-31,5052,87,1200
2020-04-01,4301,225,1011
2020-04-02,4370,317,1032
2020-04-03,5350,122,1437
2020-04-04,6147,522,1322
2020-04-05,4245,0,1052
2020-04-06,1224,515,1218
2020-04-07,8100,252,994
2020-04-08,4927,351,1938
2020-04-09,5225,410,1592
2020-04-10,5356,863,1372
2020-04-11,5924,475,1072
2020-04-12,4900,743,969
2020-04-13,3556,622,805
2020-04-14,3701,275,892
2020-04-15,7837,455,1465
2020-04-16,4844,526,1057
