date,Czechia-,West Bank and Gaza-,Indonesia-,Libya-,United Arab Emirates-,Paraguay-,Venezuela-,Israel-,Nepal-,United Kingdom-,Ukraine-,Argentina-,US-Texas-Harris,Turkey-,Costa Rica-
2020-03-10,10,7,8,0,29,0,0,14,0,258,0,5,1,0,0
2020-03-11,50,4,7,0,0,4,0,4,0,411,0,2,0,1,4
2020-03-12,3,0,0,0,11,0,0,21,0,489,0,0,2,0,9
2020-03-13,47,1,35,0,0,1,0,26,0,479,2,12,1,4,1
2020-03-14,48,4,27,0,0,0,2,29,0,364,0,3,1,0,3
2020-03-15,64,3,21,0,13,0,8,58,0,442,0,11,2,1,1
2020-03-16,45,0,17,0,0,2,7,5,0,612,4,11,0,12,8
2020-03-17,98,1,38,0,0,1,16,32,0,768,7,12,3,29,6
2020-03-18,68,2,55,0,15,2,3,54,0,999,0,11,12,51,9
2020-03-19,230,3,84,0,27,0,6,123,0,1055,2,18,7,94,19
2020-03-20,139,3,58,0,0,2,0,102,0,1254,13,31,20,167,20
2020-03-21,162,1,81,0,13,5,28,183,0,1197,18,30,13,311,28
2020-03-22,125,4,64,0,0,4,0,171,0,1376,26,108,6,566,17
2020-03-23,116,7,65,0,45,0,7,188,1,2335,0,35,4,293,24
2020-03-24,158,0,107,1,50,5,7,167,0,2371,24,86,56,343,19
2020-03-25,260,0,104,0,85,10,7,1131,1,2693,48,0,51,561,24
2020-03-26,271,25,103,0,0,4,16,324,0,3084,51,115,18,1196,30
2020-03-27,354,7,153,0,72,11,0,342,1,3201,114,87,26,2069,32
2020-03-28,352,7,109,2,63,4,12,584,1,2822,46,101,216,1704,32
2020-03-29,186,11,130,5,102,3,0,628,0,2857,119,55,81,1815,19
2020-03-30,184,7,129,0,41,5,16,448,0,4273,73,75,37,1610,16
2020-03-31,307,3,114,2,53,1,0,663,0,4515,97,234,117,2704,17
2020-04-01,200,15,149,0,150,4,8,734,0,4914,149,0,167,2148,28
2020-04-02,350,27,113,1,210,8,3,765,1,4865,103,79,48,2456,21
2020-04-03,233,33,196,0,240,15,7,571,0,4915,175,132,141,2786,20
2020-04-04,381,23,106,7,241,4,2,423,3,4020,153,186,248,3013,19
2020-04-05,115,20,181,0,294,8,4,579,0,3594,83,0,111,3135,19
2020-04-06,235,17,218,1,277,9,6,474,0,5275,11,103,414,3148,13
2020-04-07,195,7,247,1,283,2,0,344,0,5450,143,74,337,3892,16
2020-04-08,295,2,218,1,300,4,2,156,0,5129,206,87,195,4117,19
2020-04-09,257,0,337,3,331,5,4,564,0,4852,224,80,706,4056,37
2020-04-10,163,4,219,0,370,5,0,440,0,4315,311,180,214,4747,19
2020-04-11,99,1,330,0,376,4,4,335,0,3577,308,0,300,5138,19
2020-04-12,160,3,399,1,387,1,6,402,3,3495,266,167,68,4789,18
2020-04-13,68,2,316,1,398,13,8,441,2,4183,325,66,118,4093,17
2020-04-14,52,11,282,9,412,12,0,460,2,4325,270,69,160,4062,6
2020-04-15,105,7,297,13,432,2,8,455,0,5065,392,166,190,4281,8
2020-04-16,217,3,380,1,460,13,7,257,0,5298,397,128,209,4801,16
2020-04-17,116,13,407,0,477,25,0,224,14,4965,501,98,154,4353,7
2020-04-18,57,6,325,0,0,3,23,283,1,4716,444,89,193,3783,6
2020-04-19,140,6,327,2,479,4,29,226,0,3852,343,81,170,3977,5
2020-04-20,154,10,185,0,484,2,0,222,0,4858,261,102,154,4674,2
2020-04-21,133,0,375,0,490,0,29,229,12,4760,415,90,166,4611,7
2020-04-22,99,6,283,8,483,5,3,556,2,5490,467,113,68,3083,12
2020-04-23,55,1,357,1,518,0,23,305,3,5143,578,291,119,3116,5
2020-04-24,86,4,436,1,525,10,7,255,1,4973,477,172,152,3122,1
2020-04-25,79,2,396,0,532,5,5,240,0,3748,478,173,146,2861,6
2020-04-26,52,0,275,0,536,0,2,145,3,3468,492,112,101,2357,2
2020-04-27,41,0,214,0,490,0,4,112,0,4702,392,111,98,2131,2
2020-04-28,59,1,415,0,541,11,0,173,2,4721,401,124,159,2392,8
2020-04-29,75,1,260,0,549,0,2,106,3,5435,456,158,175,2936,8
2020-04-30,103,0,347,0,552,27,2,112,0,4956,540,143,195,2615,6
2020-05-01,55,9,433,2,557,67,2,155,2,4727,455,104,195,2188,6
2020-05-02,18,0,292,0,561,37,10,84,0,3221,550,149,157,1983,8
2020-05-03,26,0,349,0,564,26,12,23,16,2974,502,102,130,1670,6
2020-05-04,38,9,395,0,567,19,0,38,0,3378,418,104,129,1614,3
2020-05-05,77,9,484,0,462,16,4,43,7,3684,366,133,161,1832,13
2020-05-06,78,3,367,1,546,9,18,21,17,3831,487,188,116,2253,6
2020-05-07,57,1,338,0,502,22,2,71,2,3767,507,163,133,1977,4
2020-05-08,46,0,336,0,553,101,7,55,1,3049,504,240,217,1848,8
2020-05-09,18,0,533,0,624,126,14,18,8,2150,515,165,209,1546,7
2020-05-10,28,0,387,0,781,24,12,23,0,2321,522,258,75,1542,12
2020-05-11,53,0,233,0,680,11,8,29,24,3583,416,244,298,1114,9
2020-05-12,45,0,484,0,783,13,1,23,83,3389,375,285,240,1704,3
2020-05-13,48,0,689,0,725,3,0,19,33,3298,402,316,205,1639,11
2020-05-14,82,0,568,0,698,14,32,31,-1,2609,422,255,196,1635,15
2020-05-15,55,0,490,0,747,5,4,10,18,2517,483,345,233,1708,13
2020-05-16,49,1,529,1,796,19,45,19,24,2065,528,326,76,1610,10
