date,US-New York-New York City,Israel-,US-Arizona-Maricopa,US-New York-Nassau,China-Hong Kong,Singapore-
2020-03-07,7,6,0,0,1,8
2020-03-08,2,18,0,1,6,12
2020-03-09,6,0,0,12,1,0
2020-03-10,17,14,0,2,5,10
2020-03-11,15,4,1,9,6,18
2020-03-12,44,21,0,13,3,0
2020-03-13,59,26,0,10,5,22
2020-03-14,114,29,1,28,6,12
2020-03-15,61,58,0,19,5,14
2020-03-16,134,5,4,11,10,17
2020-03-17,182,32,1,22,7,23
2020-03-18,698,54,2,52,19,47
2020-03-19,1133,123,11,199,27,32
2020-03-20,1942,102,12,372,48,40
2020-03-21,1807,183,15,480,17,47
2020-03-22,2839,171,32,666,44,23
2020-03-23,3264,188,58,542,39,54
2020-03-24,2614,167,60,427,30,49
2020-03-25,5118,1131,52,416,24,73
2020-03-26,3121,324,48,629,43,52
2020-03-27,2327,342,100,743,66,49
2020-03-28,5410,584,55,880,42,70
2020-03-29,3064,628,92,908,80,42
2020-03-30,4392,448,144,899,41,35
2020-03-31,5143,663,101,1200,32,47
2020-04-01,4396,734,80,1011,51,74
2020-04-02,4486,765,90,1032,37,49
2020-04-03,5541,571,88,1437,43,65
2020-04-04,6333,423,122,1322,17,75
2020-04-05,4452,579,155,1052,28,120
2020-04-06,4827,474,107,1218,24,66
2020-04-07,4945,344,62,994,21,106
2020-04-08,5175,156,64,1938,25,142
2020-04-09,5454,564,130,1592,13,287
2020-04-10,5575,440,52,1372,16,198
2020-04-11,6138,335,150,1072,11,191
2020-04-12,5099,402,69,969,4,233
2020-04-13,3767,441,60,805,5,386
2020-04-14,3926,460,36,892,3,334
2020-04-15,8021,455,90,1465,5,447
2020-04-16,4970,257,118,1057,0,728
2020-04-17,4380,224,140,767,4,623
2020-04-18,4049,283,87,641,3,942
2020-04-19,3318,226,98,833,1,596
2020-04-20,2511,222,47,664,0,1426
2020-04-21,2666,229,102,402,4,1111
2020-04-22,3240,556,108,476,4,1016
2020-04-23,3540,305,124,569,2,1037
2020-04-24,4754,255,146,641,0,897
2020-04-25,4770,240,118,1033,2,618
2020-04-26,3255,145,125,724,0,931
2020-04-27,2357,112,98,343,0,799
2020-04-28,2024,173,121,220,0,528
2020-04-29,2637,106,145,420,0,690
2020-04-30,2660,112,249,349,0,528
2020-05-01,2147,155,184,307,2,932
2020-05-02,2559,84,265,358,0,447
2020-05-03,2238,23,164,261,0,657
2020-05-04,1306,38,166,185,1,573
2020-05-05,1284,43,178,187,0,632
2020-05-06,1452,21,209,198,0,788
2020-05-07,1883,71,58,243,4,741
