nation,state,county,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27
US,,,0,0.00210447674816253,0,0.00210447674816253,0,0.00631343024448759,0,0,0,0,0.00420895349632506,0.00210447674816253,0,0.00631343024448759,0,0,0,0,0,0,0,0.00210447674816253,0,0.00210447674816253,0,0,0,0,0,0,0,0.00420895349632506,0,0,0,0,0,0.00210447674816253,0,0.0168358139853002,0.0126268604889752,0.0484029652077382,0.0420895349632506,0.0652387791930384,0.147313372371377,0.101014883911801,0.242014826038691,0.239910349290528,0.143104418875052,0.404059535647206,0.837581745768686,0.951223490169463,1.25426814190487,1.50049192143988,0.206238721319928,2.92943163344224,3.74807308847746,5.83571402265469,11.0253536836235,11.2084431607136,13.3402781066023,16.7053364269142,21.2320659122118,21.598244866392,25.1190344660679,37.9563426298594,38.2467604211058,41.6686396136181,40.2796849598308,45.2378321785017,54.7395446964555,53.6494257409073,63.9739886673927,67.2211962898075,69.7928668760621,58.6601848782823,62.3703773852929,64.780003261939,66.6992860562632,73.1431938591368,70.5020755401929,63.1658695960983,60.1017514507737,53.2285303912748,56.894528886574,61.3013031972263,65.8659132639908,68.8668971068706,59.600885984711,54.8384551036192,57.5384987715117,53.6578436479,59.3483487749315,71.979418217403,76.3735656675663,69.2814790262586,58.2687522031241,47.300219391701,51.612292248686,57.6794987136386,62.5892429671018,71.8931346707283,61.440198662605,53.8472465552346,47.2981149149528,50.8967701543108,53.1506647515928,58.6770206922676,57.1512750498498,54.1692314977035,41.6223411251585,39.7283120518122,46.1974735756638,44.6043846773048,58.1193343540046,53.243261728512,52.8244708556276,39.9934761220807,45.6839812491122,43.1375643838355,49.6909049776136,53.7420227178265,50.795755270399,45.9344139821435,43.7499671175508,39.9219239126432,39.6651777493673,38.650819956753,48.0578310210395,51.534426609004,51.0251432359487,42.3610124637635,36.5210894876125,43.9646237458634,41.8391022302192,44.8148323521211,53.2664109727418,47.7379505553188,37.3986562915963,36.7694177438957,38.0636709440157,43.8446685712181,48.167263811944,53.4452914963356,53.748336148071,41.1046398451105,42.0221917073094,49.8866213151927,53.7883212062861,58.4244834824881,66.34783843932,68.8542702463816,55.4697981280679,64.495898900937,74.0544322910912,73.3115519989899,84.1201445775526,95.2380952380952,89.6443960414792
Brazil,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173884163586743,0,0,0.00173884163586743,0,0,0,0.00347768327173487,0,0.0156495747228069,0,0.012171891451072,0.00869420817933717,0.0104330498152046,0.012171891451072,0.0243437829021441,0.172145321950876,0,0.0191272579945418,0.0660759821629625,0.21039983793996,0.0886809234292391,0.432971567330991,0.299080761369199,0.396455892977775,0.912891858830403,0.65728213835789,0.561645848385181,0.533824382211302,0.749440745058864,0.751179586694732,0.84681587666744,0.612072255825337,0.561645848385181,1.97880178161714,1.94576379053566,2.10052069612786,1.75970773549784,2.26744949317113,1.33890805961792,1.79274572657932,3.2568503839797,3.71416573421284,3.34205362413721,2.68824916905105,1.89359854145964,2.54740299654579,2.15268594520388,3.18555787690914,5.31737772248261,3.66026164350095,5.66340720802023,5.17479270834148,3.4707279051914,3.63244017732707,4.06193406138633,4.65661790085299,7.44050335987675,6.96753843492081,9.18282267901592,6.56586601703543,7.55700574947987,10.0661542300366,11.2155285513449,13.0447899522775,8.72029080387518,8.51684633247869,8.21776557110949,11.8136900740833,11.8849825811539,19.3985172897371,15.9312670678174,19.3376578324817,15.9399612759968,11.542430778888,11.989313079306,14.9888149011773,20.7322088244474,22.6536288320809,29.7794018558657,22.9874864261675,13.1612923418806,24.8445692932739,28.7204472996224,34.2447471767732,32.1824809966345,36.1731225509502,28.7047977248996,27.4963027879717,20.3218421983827,28.3848508639,35.8183988572333,45.93497949471,46.8235275706383,57.858216591853,28.5326524029487,20.1670852927905,50.3151215754601,49.7882525597922,53.7736775892004,53.608487633793,47.0791372911108,32.8849730175249,27.2198269678688,55.8011669366218,57.2304947613049,52.8816518300004,45.1785833831077,37.7398188648668,29.7515803896918,35.9018632557549,60.7168722412191,55.969834575301,39.5847298405221,95.2380952380952,60.2786841489805,27.4076218645425,40.2176681959779,68.5729587520681,74.2920088924361,68.6546843089539,81.482119056748,67.2809994166186
Russia,,,0,0,0,0,0,0,0,0,0,0,0.0163414713860836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081707356930418,0,0,0.0081707356930418,0.0735366212373762,0,0.0326829427721672,0,0.0245122070791254,0,0.0653658855443344,0.138902506781711,0.114390299702585,0.0326829427721672,0.220609863712129,0.196097656633003,0.269634277870379,0.424878256038174,0.441219727424257,0.433048991731215,0.49841487727555,0.580122234205968,0.465731934503383,1.33182991796581,1.48707389613361,1.60146419583619,1.86292773801353,2.20609863712129,2.46756217929862,4.09353858221394,3.59512370493839,6.29963721933523,4.91061215151812,4.75536817335033,5.37634408602151,7.79488185116188,9.42902898977024,9.60061443932412,11.921103376148,14.5929339477727,13.6206164003007,17.8612282249894,20.9007419028009,22.665620812498,27.6824525280256,28.1726966696081,33.2548942706801,39.096970291205,49.5146582998333,34.8726999379024,46.0992907801418,42.7819720887669,39.0070921985816,47.7906330686015,48.7466091446874,51.9740497434389,50.6422198254731,52.382586528091,47.7252671830572,58.0040526849037,64.8184462529006,78.6269895741412,86.8794326241135,86.4545543680753,82.5407719711083,86.2747981828284,91.7655325685525,87.4187011798542,88.3828479916332,89.9761414517763,95.2380952380952,89.0528483184626,81.9361375298232,81.4949178023989,86.593456874857,75.1707683759846,79.3296728437428,72.9319867960911,75.6855247246462,71.6083276138183,72.3028401477269,72.6705232539138,77.0827205281563,70.2601562244664,73.095401509952,72.8421087034677,68.1275942085825,68.3972284864529,70.0395463607543,73.1444259241102,75.7263784031114,69.3286923554597,72.3763767689643,69.6882047259535,72.0904010197078,71.2324737719384,72.2783279406478,73.299669902278,73.291499166585,70.1621073961499,68.5769846716998,71.7145471778279,73.2179625453476,71.0608883223845,71.9760107200052,67.1389351897245,67.3350328463575,63.927836062359,63.5029578063209,65.1289342092362,64.303689904239,63.0535673432036,61.9832009674151,60.5696636925189,58.5433212406445,58.053077099062,55.4629538843677,55.912344347485
India,,,0,0,0,0,0,0,0,0,0,0.00478439140149177,0,0,0.00478439140149177,0.00478439140149177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956878280298355,0,0.110041002234311,0.00956878280298355,0.00478439140149177,0.0143531742044753,0.0239219570074589,0.0191375656059671,0.0621970882193931,0.0287063484089506,0.0526283054164095,0.043059522613426,0.0956878280298355,0.0526283054164095,0.0287063484089506,0.110041002234311,0.0669814796208848,0.181806873256687,0.239219570074589,0.411457660528293,0.315769832498457,0.492792314353653,0.177022481855196,0.578911359580505,0.334907398104424,0.765502624238684,0.478439140149177,0.177022481855196,1.08605684813863,0.698521144617799,2.87541923229656,2.60749331381302,0.114825393635803,2.46396157176826,2.42090204915484,5.69342576777521,2.55008061699512,2.89455679790252,3.87057264380684,4.17677369350232,4.05716390846502,3.63135307373226,5.97092046906173,4.94706070914249,3.99496682024563,5.30110567285289,4.41120887217541,6.55461622004373,9.05685292302393,4.4207776549784,7.37274714969882,6.17186490792439,8.16695612234646,6.95172070636755,8.38703812681508,7.68851698219728,7.46843497772866,8.96116509499409,8.3152722557927,8.61668891408668,11.4538330151713,11.6834838024429,13.4250022725859,18.8122269906657,14.1761517226201,17.161611957151,16.0946926746183,15.9990048465885,14.8938104328439,20.8264557706937,17.2572997851808,16.860195298857,18.0036648438135,18.8600709046806,18.1184902374493,23.271279776856,24.1611765775335,22.1517321889069,29.4096539449699,26.5677254524838,29.653657906446,31.423882724998,31.715730600489,34.031376038811,30.6870864491682,27.9551989589164,34.8925664910795,34.9260572308899,38.7774923090908,39.8826867228354,42.0165252879008,37.1316616669777,42.2031165525589,46.0880423705702,47.3128465693521,45.3129709635286,49.9394774487711,51.9776281858066,40.3898322113936,48.8869113404429,50.0399496682025,52.2933980183051,54.8195566782927,57.0730050283954,55.0300698999584,51.0351030797127,52.5039112399707,61.6277456426155,65.0007415806672,69.4502255840546,73.6939807571778,70.9573088755245,71.4453167984767,76.3971618990206,80.9614712960438,82.7508336802017,88.7600292804754,95.2380952380952
United Kingdom,,,0,0,0,0,0,0,0,0,0,0,0.0219417337260904,0,0,0,0,0,0,0.0109708668630452,0,0,0.0548543343152259,0,0.0109708668630452,0,0,0,0,0,0,0,0,0,0,0,0.0438834674521807,0,0,0.0219417337260904,0.0548543343152259,0.0329126005891355,0.142621269219587,0.0438834674521807,0.120679535493497,0.373009473343536,0.329126005891355,0.526601609426169,0.471747275110943,0.735048079824027,0.526601609426169,0.669222878645756,0.811844147865344,0,3.75203646716145,3.75203646716145,0,4.42125934580721,4.46514281325939,7.41630599941854,0.691164612371846,14.1963017207805,11.3548472032518,7.29562646392505,10.6088282565647,15.6554270135655,15.9296986851416,23.3569755514232,31.6509508998854,27.931827033313,26.6921190777889,28.7327003143153,33.011338390903,47.4380283158074,46.5603589667638,48.8203575405511,40.9761877334738,64.7610270925557,41.7112358132978,39.8681301803062,60.2410299449811,47.6574456530683,95.2380952380952,57.4105462943154,58.0139439717829,47.6355039193422,57.6189927647133,50.498900170597,50.6524923066796,61.42588356619,60.6140394183246,64.1795711488143,51.2997734515993,47.1856983779573,48.8313284074141,50.2794828333361,59.0890889243613,53.899868898141,48.9629788097706,47.2734653128617,43.8395839847285,44.7172533337722,66.1762689178885,68.0303454177432,52.7259861437951,47.602591318753,43.718904449235,48.3376393985771,67.0429674000691,61.5904465691357,51.0035600462971,42.742497298424,43.0387107037263,42.5340508280262,37.3338599349428,35.5675503699925,37.8056072100537,39.0562860324409,37.8494906775059,38.7710434940017,29.7420200657155,26.461730873665,-5.75970510309872,28.6888168468632,36.0612393788295,32.4627950477507,26.3849348056237,17.8276586524484,44.3552147272917,22.08435499531,20.7020257705663,22.9839660780797,17.5972704483245,21.2395982468555,17.2242609749809,18.1348429246137,20.5264919007575,19.8024146877966,18.1019303240246,17.0816397057613,14.5473694603979,13.2198945699694,19.1002792085617,11.0037794636343,13.8891174486152,16.9061058359526,15.6334852798394,16.6098924306504,10.6197991234277,14.0317387178348,12.2325165522954,13.362515839189,14.7667867976588,14.2072725876435,13.3954284397782,10.5100904547973,10.1041683808646,7.15300519470546,12.2654291528845,15.1397962710024,9.76407150811021
Peru,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059731781886,0,0.0529865890943002,0.01059731781886,0.0423892712754402,0,0.0423892712754402,0.137765131645181,0.1059731781886,0.0529865890943002,0.455684666210982,0.328516852384661,0.296724898928081,0.943161285878544,0,0.890174696784244,0.476879301848702,0.339114170203521,0.222543674196061,0.678228340407043,1.059731781886,0.582852480037303,0.381503441478962,1.91811452521367,1.03853714624828,1.21869154916891,2.73410799726589,0.964355921516264,1.91811452521367,1.60019499064787,5.66956503309012,2.96724898928081,4.164745902812,14.7090771325777,9.68594848643808,6.79288072188929,10.0780492457359,7.11080025645509,24.002924859718,5.50000794798836,12.420056483704,10.7668749039618,10.5761231832223,9.8661028893587,12.8015599251829,7.38633051974545,16.0231445421164,14.9740100780492,17.6339368505831,7.77843127904327,39.0299215268615,23.1657367520281,12.5260296618926,26.3979186867804,29.0472481414954,32.2688327584288,36.9104579630895,21.9894344741346,35.967296677211,15.3025269304339,40.4499621145888,38.4470690468242,39.3054517901519,35.1936924764342,33.5723028501486,24.2890524408272,16.054936495573,34.30351777965,45.0068087766986,45.5472719854605,41.2341636331844,42.8767478951077,39.5491900999857,28.1888653981677,48.2177960758132,48.080030944168,50.3266623217664,31.0395438914411,42.9827210732963,44.5617214283065,42.6012176318174,61.1677184504602,65.2158938572647,62.2486448679839,68.9461497295035,78.2717894101003,93.3093833950627,58.9528790263184,0,94.0511956423829,45.3989095359964,44.5299294748499,46.1831110545921,50.4114408643172,33.7100679817938,42.8131639881946,53.9085557445411,63.2130007895002,0,63.1706115182247,95.2380952380952,34.5048668182083,44.1272313977332,39.7611364563629,36.878666009633,37.482713125308,36.1686457157693,38.1291495122584,26.6098650431576,35.6387798248263,41.1069958193581,41.4673046251994,39.8671096345515,38.4152770933677
Chile,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263241369960738,0,0.00789724109882213,0,0,0.0105296547984295,0,0.0131620684980369,0.0263241369960738,0,0.0526482739921475,0.0473834465929328,0.0342213780948959,0.213225509668197,0.121091030181939,0.0973993068854729,0,0.515953085123045,0.27113861105956,0.250079301462701,0.300095161755241,0.463304811130898,0.579131013913623,0.43171584673561,0.800253764680642,0.787091696182605,0.605455150909696,0.816048246878286,0.760767559186531,0.771297213984961,0.981890309953551,0.876593761969256,1.11614340863353,0.816048246878286,0.905550312664937,0.79235652358182,1.13193789083117,1.12140823603274,1.3925468470923,1.12140823603274,0.752870318087709,0.821313074277501,1.03190617024609,0.937139277060226,1.40570891559034,1.17142409632528,1.25829374841233,0.94240410445944,1.10298134013549,0.855534452372397,1.22143995661782,1.35832546899741,1.30041236760604,1.45309236218327,1.24513167991429,1.26882340321075,1.45309236218327,1.36885512379584,2.99568679015319,2.59292749411326,3.75645434933972,3.23260402311786,2.57976542561523,3.61430400956093,2.71665093799481,4.03549020149811,3.66168745615386,3.2826198834104,4.33558536325335,3.15099919843003,4.36454191394903,7.00222044095562,6.99958802725601,6.58629907641765,4.96473223745951,6.19406943517615,5.9966384077056,9.26609622261796,10.6296865190146,10.4348879052436,11.2562009795211,9.30821484181168,9.76362241184376,12.8856650595781,10.4348879052436,11.3930864919007,12.2512533579727,9.72676862004925,11.1087858123431,12.7145581691036,14.3993029368523,9.28715553221482,13.0093885034596,12.2775774949688,11.0745644342482,13.8096422681403,16.8606097459852,12.3618147333562,10.3006348065637,14.9968608466632,14.8362836109872,17.7793221271482,17.1343807707444,18.263686247876,13.5385036570807,13.1962898761318,95.2380952380952,11.780051305743,16.5578821705304,14.0965753613975,14.7599436136986,12.1301623277908,10.0137017133065,9.60567758986731,12.2354588757751,11.3088492535133,11.5984147604701
Spain,,,0,0,0,0,0,0,0,0,0,0,0,0.00988972951589774,0,0,0,0,0,0,0,0.00988972951589774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039558918063591,0.0692281066112842,0.0197794590317955,0.168125401770262,0.128566483706671,0.385699451120012,0.356030262572319,0.445037828215398,0.563714582406171,0.365919992088216,1.39445186174158,0.988972951589774,1.71092320625031,3.9558918063591,6.15141175888839,5.75582257825249,0,29.2241507194778,11.4621965089255,13.9148494288681,21.2035800820848,17.8608515057113,21.3815952133709,40.0830737279335,24.2001681254018,49.0926173169164,33.5657419769569,62.9777975572368,46.9663254709984,95.2380952380952,81.7979528259902,78.4552242496168,74.3312070414874,67.991890421797,77.5948177817337,78.7914750531573,81.046333382782,78.5936804628393,70.5533303664145,68.9215249962914,54.1759382880878,49.7354497354497,52.0892053602334,62.087721900806,49.4684270385205,49.9530237847995,47.0157741185779,37.620531078475,32.3196360579538,24.1507194778223,50.4672897196262,72.2345843841171,58.2603965781536,8.77219008060129,68.7138406764575,15.1906245364189,39.2424467190822,41.6456509914454,45.838896306186,-99.2335459625179,28.8285615388419,17.0993423329872,18.1080947436088,12.9357662067942,21.2035800820848,5.12287988923503,17.6136082678139,13.5093705187163,8.7425208920536,5.38990258616427,13.0346635019532,9.85017059783415,11.0962765168373,13.9445186174158,7.13049498096227,7.63487118627306,30.5197052860604,5.87449933244326,6.53711121000841,8.39638035899718,6.35909607872225,5.09321070068734,0,8.97987440043515,4.26247342135193,5.12287988923503,4.76684962666271,17.6729466449093,4.60861395440835,4.76684962666271,-3.67897937991396,8.49527765415616,0,16.2883845126836,6.50744202146071,6.5667803985561,2.48232210849033,1.57246699302774,2.90758047767394,3.89655342926371,3.30316965830985,3.14493398605548,3.28339019927805,2.37353508381546,1.65158482915492,2.46254264945854,3.10537506799189,4.22291450328833,4.96464421698067,3.91633288829551,3.19438263363497,1.79004104237749,2.1658507639816,3.5108539781437,5.78549176680018,3.03614696138061,3.58997181427088,3.30316965830985,2.29441724768828,2.45265291994264,3.30316965830985,3.9558918063591,4.14379666716115,5.57780744696633
Italy,,,0,0,0,0,0,0,0,0,0,0,0.0290492893817585,0,0,0,0,0,0,0.0145246446908792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246918959744947,0.610035077016928,1.35079195625177,1.07482370712506,1.35079195625177,1.90272845450518,2.93397822755761,3.38424221297486,3.48591472581102,8.22094889503765,4.9674284842807,6.76848442594973,8.52596643354612,11.1694517672861,11.3001735695041,18.1122319295264,21.6707698787918,26.10078650951,14.190577862989,33.5955031700037,38.5048330755209,36.9942700276694,50.7926824840047,52.1434744402565,46.9581762856126,51.2138971800402,61.105180214529,77.3001590448594,86.9445231196032,95.2380952380952,80.7570244812886,69.5585234246207,76.2398599824252,75.6733988394809,90.096371017524,85.8261254784055,86.7702273833126,75.775071352317,58.824810998061,58.8683849321336,69.4568509117846,67.8010414170243,66.5954959076814,69.7909177396748,62.6883664858348,52.2741962424744,44.140395215582,55.7165370342128,61.0616062804564,57.3868711736639,68.1786821789872,59.4348460750779,45.7962047103423,43.1672440212931,38.737227390575,54.9903047996688,50.7345839052412,50.7055346158595,44.2565923731091,32.7675984226236,39.6377553614095,48.9480526082631,38.4322098520665,43.8789516111462,34.2345875364024,33.7552742616034,25.258357117439,30.3710320486285,30.2984088251741,27.190134861326,28.5409268175777,27.5968249126706,20.1747314756313,17.7345911675636,15.6139930426952,20.9735869336296,20.3490272119218,19.2742035047968,15.7301902002222,11.6487650420852,10.8063356500142,20.3635518566127,12.8978844855008,14.4084475333522,11.4599446611037,12.7090641045193,9.80413516634349,6.55061475558654,11.8085361336848,9.6588887194347,9.32482189154448,9.47006833845327,9.71698729819822,7.71258633085688,4.35739340726377,5.76628394227906,8.48239249947348,8.61311430169139,7.49471666049369,6.04225219140577,4.83670668206279,2.90492893817585,4.6188370116996,4.66241094577224,2.57086211028563,7.52376594987545,3.9216540665374,2.86135500410321,4.06690051344619,4.11047444751883,2.93397822755761,5.50484033784323,2.36751708461332,5.02552706304422,4.90932990551719,4.37191805195465,3.05017538508464,4.76408345860839,4.80765739268103,-2.14964741425013,3.83450619839212,3.25352041075695,3.20994647668431,1.64128485006936,8.38071998663733,4.29929482850026,3.70378439617421,2.54181282090387
Iran,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532949609614411,0.0799424414421616,0.346417246249367,0.266474804807205,0.399712207210808,0.47965464865297,0.906014336344499,1.1724891411517,2.82463293095638,3.81058970874304,5.46273349854771,10.2592799850774,13.9366322914168,22.2506462014017,15.6154235617022,15.7486609641058,32.8829909132092,28.6726889972553,19.7990779971754,15.8552508860287,23.4764303035148,25.5282863005303,28.6460415167746,34.3486023396488,36.3738108561835,32.2168039011911,28.0597969461987,31.3907320062888,31.7637967330189,27.8732645828337,32.9629333546513,25.741466144376,27.3936099341807,37.5995949582967,46.9528606070296,58.7843419404695,63.6608308684414,77.9705278865883,81.9676499586964,77.3043408745703,84.8988728115757,82.8736642950409,79.622671676393,76.6115063820716,72.3479095051563,68.2175500306446,66.1656940336291,60.5963706131585,55.6665867242252,53.2150185199989,43.5419831054974,52.5488315079809,48.9514216430836,44.1548751565539,43.0889759373251,41.9431342766541,40.2909904868495,42.7958536520372,39.9445732406001,36.61363818051,35.7875662856077,34.4818397420524,34.5617821834946,31.8170916939803,27.4469048951422,31.1242572014816,30.2182428651371,30.7245449942708,26.4076531563941,29.6319982945612,28.5927465558131,26.1944733125483,26.8073653636049,21.3712793455379,26.0079409491833,32.5898686279212,35.2546166759933,44.7677672076105,39.57150851387,41.4634796280012,40.7439976550217,36.8534655048365,44.8477096490527,39.4649185919471,52.1757667812508,48.1786447091427,56.0130039704746,46.819623204626,48.1253497481813,61.1293202227729,56.2528312948011,62.5149892077704,63.7407733098835,61.5823273909452,49.8041410184667,58.0915074479708,53.9078530124977,47.6190476190476,55.4267593998987,60.170010925467,75.1192474751512,60.8095504570043,67.0450608894929,79.3828443520665,83.0601966584059,83.5132038265782,95.2380952380952,76.9046286673595,60.4631332107549,62.9946438564234,54.4408026221121,55.8264716071095,53.588083246729,59.1041117062382,63.127881258827,64.7533775681509,65.8725717483412,65.2596796972846,68.2974924720868,69.6032190156421,69.1768593279505,69.6831614570842,61.8754496762331,63.1012337783463,68.563967276894,65.1530897753617,67.4447730967037,69.1502118474698,70.0295787033336,65.4462120606497
