date,US-Texas-Dallas,Ethiopia-,Paraguay-,US-California-Fresno,France-,Spain-,Nepal-,US-California-San Bernardino,Netherlands-,Germany-,Ukraine-,Iraq-,Italy-,Morocco-,Venezuela-
2020-02-03,,,,,7,2,9,,,2.61208478945887,,,3,,
2020-02-04,,,,,8,3,10,,,3.61208478945887,,,4,,
2020-02-05,,,,,9,4,11,,,4.61208478945887,,,5,,
2020-02-06,,,,,10,5,12,,,5.61208478945887,,,6,,
2020-02-07,,,,,11,6,13,,,6.44178247115127,,,7,,
2020-02-08,,,,,7.47724130113678,7,14,,,7.44178247115127,,,8,,
2020-02-09,,,,,8.47724130113678,1,15,,,8.28410715219118,,,9,,
2020-02-10,,,,,9.47724130113678,2,16,,,9.28410715219118,,,10,,
2020-02-11,,,,,10.4772413011368,3,17,,,10,,,11,,
2020-02-12,,,,,11.4772413011368,4,18,,,11,,,12,,
2020-02-13,,,,,12.4772413011368,5,19,,,12,,,13,,
2020-02-14,,,,,13.4772413011368,6,20,,,13,,,14,,
2020-02-15,,,,,8,7,21,,,14,,,15,,
2020-02-16,,,,,9,8,22,,,15,,,16,,
2020-02-17,,,,,10,9,23,,,16,,,17,,
2020-02-18,,,,,11,10,24,,,17,,,18,,
2020-02-19,,,,,12,11,25,,,18,,,19,,
2020-02-20,,,,,13,12,26,,,19,,,20,,
2020-02-21,,,,,14,13,27,,,20,,,1,,
2020-02-22,,,,,15,14,28,,,21,,,1,,
2020-02-23,,,,,16,15,29,,,22,,,1,,
2020-02-24,,,,,17,16,30,,,23,,,1.33051768766177,,
2020-02-25,,,,,17.7456829329017,1,31,,,23.7283156001624,,1,1.90269138861788,,
2020-02-26,,,,,18.3310655702569,1,32,,,17.4907386224985,,1,2.02812489416913,,
2020-02-27,,,,,1,1.71139877187992,33,,,1.34659424449491,,1.22161460295123,1.95038237313025,,
2020-02-28,,,,,1.38500605950198,1,34,,1,2.25459802640471,,2.22161460295123,2.05879044048738,,
2020-02-29,,,,,1.32315545724208,1.46486371961387,35,,1,2.28592235213055,,2.22024988717613,2.4056509261297,,
2020-03-01,,,,,1.76635548489899,1.20236870377288,36,,1.10175559829607,1.39149386669667,,1.50668447910203,2.15532493538371,,
2020-03-02,,,,,2.08191138389836,1.53908501748702,37,,1.2062553457696,1.98733318820714,,2,2.42890259711578,,
2020-03-03,,,,,2.92452239127775,2.02886867116153,38,,1.68981678612203,2.56730490827521,,2.45284573568732,2.74548633056723,1,
2020-03-04,,,,,2.76137705145459,2.21857868850777,39,,1.81205912203883,2.96194625717906,1,3.21670710747637,3.22720563380994,2,
2020-03-05,,,,,3.03424509063537,2.76075287895061,40,,1,1.28786691598024,2,4.21670710747637,3.29356704003097,1,
2020-03-06,,,,,1.51407381804431,2.35169798906222,41,,1.32222793157677,1.59680743898894,3,4.83646721419758,3.37061833642167,2,
2020-03-07,,,,,1.58127970888353,2.22943229233191,42,,1.69330304012791,2.30795680586987,4,4.81824097746035,3.2321524702615,3,
2020-03-08,,,,1,2.26995972716085,2.39772638475288,43,,1.91011620716902,2.76958106336962,5,5.31082025899327,3.20332832979696,4,
2020-03-09,,,1,2,3.14048966270687,1.7628756808473,44,,2.41140272449608,3.39640888493199,6,6.31082025899327,3.05902865164332,5,
2020-03-10,,,2,3,3.16569667877619,1.50576394201249,45,,2.95388282862341,3.52460031745899,7,4.89377303184546,3.62061118560694,5.41503749927884,
2020-03-11,1,,1,4,2.82009468963124,1.87040683133002,46,,3.15231192843723,3.32741803579098,8,5.89377303184546,3.74574067570402,1.44966028678679,
2020-03-12,1,,1.43067655807339,5,3.82009468963124,2.87040683133002,47,,4.15231192843723,4.00364926452204,9,6.89377303184546,3.88850647665852,2,
2020-03-13,1.58660989477715,,2.31739380551401,6,2.89529806420559,1,48,,2.81454533075704,2.13961054941952,1,6.22329118570236,4.17426600018689,2.69823228777992,
2020-03-14,2.38201700070719,1,3.31739380551401,1,3.0838085805651,1.59265465034229,49,,3.17387924564264,1.82769883710468,1.63092975357146,6.8258442590791,3.79811652605087,1,
2020-03-15,3.13614132349183,2,4.31739380551401,2,4.0565844949632,2.35348142016,50,,2.74275428879166,2.41691833225068,2.63092975357146,7.32176713889463,4.03471319250592,1.21881586309487,1
2020-03-16,4.13614132349183,1,5.13864688385321,3,3.20888109729923,3.06151033155131,51,1,3.27563658638645,3.01871263351165,1,6.80521126622654,4.4003318136431,2.17926757789881,1.1009786884242
2020-03-17,2.81567679776182,1.43067655807339,6.06546416910142,4,3.77895048514445,3.42156984033668,52,1.41503749927884,3.66774439830235,2.95968181355951,1,4.76981784830938,4.73369919929632,2.77709898959674,1.05625965652964
2020-03-18,1.60890091007823,2.31739380551401,5.47724130113678,1,2.98714935312919,3.57497464398038,53,1.44966028678679,3.60210235012257,2.72846000731224,2,5.5913088504643,4.93875310428773,3.26760271862745,1.91382645538037
2020-03-19,1.49673254032347,3.31739380551401,6.47724130113678,2,3.51289188879709,3.41828290586013,54,2.44966028678679,3.63309923987521,2.78462434489904,2.8073549220576,6.14405922484491,5.16988361708691,2.69406335800218,2.68142479141122
2020-03-20,1.83054331665683,4.06546416910142,4.72176678584324,1,4.13023020005619,3.84357535878571,55,2.2062553457696,3.69258451118967,2.75707702779409,1.73720546815576,6.65709425848607,5.32703382605169,2.94858250882265,3.68142479141122
2020-03-21,2.32990960736828,5.06546416910142,4,1.75647079736603,4.48362113370403,3.5447989510668,56,3.2062553457696,3.66012667137824,3.36402619965188,1.35361172936566,7.3239407247116,5.35426449373221,3.08110353445757,3.32376084532087
2020-03-22,2.41049461620512,4.47724130113678,3,2.75647079736603,4.72699206151874,3.86895707883696,57,2.09724346817134,3.8649217923528,3.95931438021506,1.52362931219884,6.93550767349268,5.53460729077783,3.3634879987317,4.32376084532087
2020-03-23,2.71301624296238,5.47724130113678,4,3.47013780791097,4.49286172005941,4.08695538794208,1,3.09724346817134,4.19454274811996,4.24420126833796,2.52362931219884,6.67661777204392,5.88497690209617,3.36930141684639,4.56445665427577
2020-03-24,3.46885438553856,5,3.88402664373306,4.11498590130048,4.82820496485389,4.18143984441926,2,1,4.37749941427437,4.7150856526174,2.92865012152875,6.59241978299685,6.25537572511821,3.55180650533424,4
2020-03-25,4.46885438553856,6,3.86346300278168,5.05597927885032,4.99713119592429,4.11298368651628,2.41503749927884,1.42486430056357,4.64533672282551,5.23804625251346,3.01560911761203,6.66107007222874,6.70768389568985,3.12171019802002,4.8433071796919
