nation,state,county,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16
US,,,,,1,1,2,1,1.75647079736603,2.75647079736603,3.75647079736603,4.75647079736603,5.38925957835369,6.24352920263397,7.24352920263397,3.71673686732251,4.71673686732251,5.71673686732251,6.71673686732251,7.71673686732251,8.71673686732251,9.71673686732251,10.7167368673225,11.4581378879138,12.4581378879138,13.2202498871761,14.2202498871761,15.2202498871761,16.2202498871761,17.2202498871761,18.2202498871761,19.2202498871761,20.2202498871761,20.4833209619782,21.4833209619782,22.4833209619782,23.4833209619782,24.4833209619782,25.4833209619782,25,26,17,4,1.55593203540666,1.65539138414317,2.03347105604307,1.50428628610438,1.87343344097299,2.06240872579791,1.96252379220301,2.62607272159653,2.81659170081621,1.78980452675038,1.79020564316451,2.06273321593381,2.24618217784432,3.14796794867474,2.96286153794113,1.91171730197559,1.93575813601672,1.61948915825832,1.80842303981704,2.19900750269591,2.44872047839054,2.58054000787275,2.82556753843568,3.08200410418937,3.16075999253101,3.2694415597495,3.39633359724186,3.72388841025607,4.13696290965601,4.41107289406361,4.73856442858564,4.98637442721445,5.14378001779591,5.3485447261305,5.75196367933386,6.18458439365076,6.58079509771541,6.97720365031288,7.39111406571272,7.85544591362682,8.37858206645244,8.94514433540128,9.55272991922976,10.1517198791204,10.6571225999284,11.1013960952889,11.5365684470051,12.0665745125824,12.6340752801064,13.1929535241669,13.7848801630615,14.337801756904,14.8181041663506,15.2936517554802,15.8165436803851,16.4001031823484,17.0707164149839,17.6664797785551,18.211484281044,18.7012312029205,19.1061189313974,19.5400097252381,20.0388784683505,20.6161291134031,21.1709653416873,21.7234994479546,22.2452203550278,22.7945308205197,23.3815521499129,24.0696874352277,24.7755666884183,25.4384095658229,26.1179485134847,26.6470941806624,27.2017391568804,27.7377144973182,28.3723460029132,28.9611377494459,29.5826258959358,30.1528252051035,30.6619928961689,31.1897688912569,31.7839242292615,32.4140702942101,33.0806186587626,33.7886688202615,34.518511027441,35.1866253807168,35.8386319442836,36.502230955831,37.226416244741,37.9897971996283,38.6687489678823,39.3665942141932,40.0465160997274,40.5956870328023,41.1873261833857,41.8365966725085,42.4466432957554,43.0466054755299,43.6155402772766,44.1502393235658,44.6695994252926,45.2044470662805,45.8603589575674,46.5228375141475,47.1262637616812
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,3,4,1,2,1,1.58808318185674,2.22259631977281,3.03327582140238,2.59169535305826,3.11906993632158,2.81767253214068,1,1.65020984627476,2.58424913705041,3.38658132100602,2.13229317260775,2.34439226299214,2.07029285951892,1.8755317073801,2.38236965183692,2.10447850421133,2.23553592992376,2.76941685781455,3.46074406528265,4.08488640065215,4.54307879996394,4.90690012775311,5.35062534707411,5.85368762439411,5.27769023856911,4.99780385450842,4.65506447500851,4.1531122048517,4.44439337983919,5.12140374628816,5.65516206505571,5.8394025581541,5.95709724818512,6.00932354953285,6.39868475095053,6.99528844054329,7.04267540768967,7.42176387129286,7.73528582859973,7.93691089250112,8.43084762526287,8.63798479738075,8.8412781592181,9.19468344037779,9.32055026578169,9.43698002717384,9.4387856117405,9.12892141333971,9.41075229281022,9.35424211207331,9.64297608933165,9.98563181539478,10.0130558868896,9.42462963268472,8.80314068344958,8.91621893624312,9.33723981309584,9.77445273992468,9.94713998867116,10.2926004056897,9.95118429483948,9.92094452955733,9.9657542902963,10.2485736885477,10.7702296908819,11.308923811975,11.6105133624087,11.4084983288078,11.0503786099138,10.7714608781713,10.8785631281223,11.5327246108498,11.8792088999978,11.9841524407103,12.0958686433782,12.1080557717759,11.5967533346289,11.5175944761929,11.7088984259033,12.2198595244921,12.5717279311081,12.8341406744941,13.0659134587002,13.0683261716874,12.42325373888,12.872022051913,13.5165768718755,13.6978255527457,13.9761102997643,14.1376907850898,14.3771300953676,14.6593762381531,15.0900089260803,15.5957354209283,15.43646371945,15.3026450206684,15.4988047554083,15.8993947197931,16.4836227798549,17.1632673934815,17.7758332469646,18.1292511841391
Russia,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,1,1.58808318185674,2.36048139216652,3.36048139216652,4.22259631977281,5.22259631977281,4.72374982906039,1.64994723832451,1.89000974709056,2.7517524402121,3,3.12731400797554,2.56781186218189,2.57549603388103,2.59075574808985,2.86791349750298,3.26773717452568,3.6011119431985,4.09154648344593,3.60130957140002,3.2372774858301,2.84044288973896,3.14163336791496,3.37230230171362,3.57660082984091,3.39494636245073,3.51475211683438,3.19115405749688,3.49381840783451,3.92973252756342,4.17482897819159,4.45785108639097,4.64870562144744,4.66416414348934,4.4753912461804,4.38365729412088,4.5908276569573,4.65343069066443,4.64512468064898,4.7498205807058,4.79261874797296,4.81270229269075,4.90201412520984,4.9735310049848,4.89750870711133,5.25986606485015,5.4351920819847,5.72579897413028,6.14417853684155,6.50129727175154,6.91129389669859,7.37452771326087,7.82438416411813,8.07672360287976,8.52891113797914,8.90309378823907,9.143749349741,9.15114260519965,9.21110325066964,9.31843149777124,9.50289948565631,9.66665123762919,9.77023736420479,9.93456234994203,10.0101365868445,10.2269024694265,10.4649004135909,10.8183782577509,11.2948445173112,11.7989131419085,12.2984540803998,12.8696308618057,13.4059442432552,13.9927318268716,14.5261231186208,15.0977318684286,15.6700968908721,16.2499823765704,16.8159698395408,17.4299909467278,18.0385306930165,18.6182014399261,19.2302195273371,19.8422415362979,20.442795504567,21.034963038774,21.6080506323183,22.2244857163145,22.8328216070974,23.4639707667463,24.0899956568549,24.693596481104,25.2879269730872,25.8686115413262,26.418613664222,26.995498742083,27.5699049948057,28.1325202483401,28.6998314966571,29.2895835144542,29.8576366498185,30.4089900057882,30.9665282486779
India,,,,,,,,,,,,,1,2,1,1.41503749927884,2.41503749927884,3.41503749927884,4.41503749927884,5.41503749927884,6.41503749927884,7.41503749927884,8.41503749927884,9.41503749927884,10.4150374992788,11.4150374992788,12.4150374992788,13.4150374992788,14.4150374992788,15.4150374992788,16.4150374992788,17.4150374992788,18.4150374992788,19.4150374992788,20.4150374992788,21.4150374992788,22.4150374992788,23.4150374992788,24.4150374992788,25.4150374992788,26.4150374992788,27.4150374992788,28.4150374992788,28.4496602867868,29.4496602867868,1,1.36229766115235,2.34326442538728,3.28964525245223,4.21000525844875,5.15332986800879,5.99999999999999,5,4.48286329448618,4.48780003621499,4.35406208725464,4.9126673991339,5.4043720081547,5.17008758343549,5.4301608805783,5.23029101286839,3.85909989029579,2.7427114081931,2.91099879753753,2.92617129405578,3.6892641132869,4.01508926107247,4.46969165789696,4.51000187250688,5.04793955852773,5.64044142431103,5.2413791353229,5.39500521038494,3.67162610727513,2.85274952292905,3.76765178850517,3.72582699193548,4.30098663294114,4.25899745556136,3.81461986328351,4.22459628675024,4.42699525545379,4.80049747712466,5.43109143975076,6.13065249120468,6.15165083886209,6.27430157202172,6.68340391605782,7.01161020116409,7.46818078608214,7.67839103238459,7.51297157836773,7.94508018743443,8.31706155046379,8.76727889601305,8.93625070103536,9.0660764378372,9.25220274497806,9.43326841949399,9.71820883578374,10.0419385515517,10.5586552367481,11.0921093787904,10.939684594327,11.1445937797284,11.0885512300738,10.8998872689698,10.899944412482,10.865583249952,10.8129881152646,10.7831019765512,10.9527648891269,10.7066268432352,10.7766479791932,11.0449267326623,11.2687117130261,11.5283821103695,11.8975571770291,12.2742006876021,12.5157350009731,12.7810549078651,12.9233765175097,13.0974491810425,13.1699512754648,13.1291504146283,13.3256034386116,13.4095232720509,13.5095361665497,13.7013266249459,13.7447012663024,13.8127946302866,13.7979010069398,13.9460534820172,14.07600263415,14.2425111382358,14.461046666991,14.645376552857,14.7810760743243,15.0210600174571,15.2211128101796,15.3980728944837,15.7788372761834,16.0635125515157,16.252572234818,16.3421971514372,16.4862838350954,16.6696774436809,16.8958701394694,17.2357094755636,17.5694092561996
United Kingdom,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,1,1.70669505261142,2.58660989477715,3.58660989477715,4.58660989477715,5.58660989477715,6.58660989477715,7.58660989477715,8.58660989477715,9.58660989477715,10.5866098947772,11.5866098947772,12.5866098947772,13.5866098947772,14.2116977691486,15.2116977691486,16.2116977691486,17.0657999554351,4.71347996830151,5.33340783302814,2.36623942103826,3,2.76969075355206,1.75046068984004,1.76516582274281,2.08231426593973,2.36457199375798,2.50864791763472,3.04431037110096,3.32291480263522,3.63966251371251,4.63966251371251,2.75410703622554,1.60125579705775,2.60125579705775,3.06034841470643,3.43834329561863,2.53324681940581,3.45492644593215,2.92924577152868,3.15313355666326,2.85958898267969,3.45961132722965,3.94009410080888,4.22441434431656,3.8385733396533,3.54041121373898,3.65964471825439,3.88071047484587,4.25642446625812,4.6575657732758,4.91785809191257,5.08399396089214,5.17047742078635,5.43864694145067,5.39908340481922,5.83818769973337,6.4092777254718,6.7782428160486,7.2646962690997,7.27713471584634,7.63379081447901,7.95729599858882,8.57612364902484,9.13927468394546,9.61431795579114,10.0155815463394,10.2403127184146,10.6493441817336,11.1222458714153,11.6146540203706,12.1239785793068,12.7975881854329,13.5280211622391,14.2224316759962,14.9150961595701,15.4827447888111,16.0771280824668,16.6940764679048,17.3085849125153,17.6842493196344,17.9792373132003,18.5150896160775,19.1064379916065,19.6865878762947,20.2091446990825,20.5450054862169,20.9515500320221,21.5310145801721,22.1856567893408,22.8337777794213,23.4801451564045,24.1747763365425,24.8889174394151,25.5908092679785,26.2874310006657,26.9970572218175,27.6147082157102,28.3251404688048,29.0701752838134,30.1254603609789,30.8323332222179,31.4483747692709,32.1069533620109,32.8323997128988,33.6483538954907,34.1953708545586,34.9722727200244,35.7638202038684,36.5340956847259,37.3594073503347,38.1499243719511,38.9833500211134,39.8274881817143,40.6521853870962,41.4841736402681,42.3315288071359,43.1883006593082,44.0669380523567,44.9512897588077,45.7719279768988,46.6690863134803,47.5397845800121,48.3831518861045,49.239041348499,50.0866925476646,50.9882900215021,51.84321916815
Spain,,,,,,,,,,,,,,,1,2,3,4,5,6,7,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,1,1.71139877187992,1,1.46486371961387,1.20236870377288,1.53908501748702,2.02886867116153,2.21857868850777,2.76075287895061,2.35169798906222,2.22943229233191,2.39772638475288,1.7628756808473,1.50576394201249,1.87040683133002,2.87040683133002,1,1.59265465034229,2.35348142016,3.06151033155131,3.42156984033668,3.57497464398038,3.41828290586013,3.84357535878571,3.5447989510668,3.86895707883696,4.08695538794208,4.18143984441926,4.11298368651628,3.97831747923594,4.3349894111022,4.67422341851523,4.98033434467385,5.54831098525668,6.14739104397995,6.67565383517009,7.19948518907275,7.75979258547659,8.31810023195142,8.98539743349704,9.63918868641363,10.2899939793733,10.8676318696511,11.497730900139,12.1362627500023,12.8141191765376,13.5672604399751,14.3596392160516,15.207082717272,15.8870051934563,16.4223116569571,17.0606952027147,18.0072160526978,18.5733994396758,19.4794544388024,20.2400598820035,20.9900145254438,21.6909382877395,23.311242009329,24.137317396489,25.035315562741,25.9199962752752,26.8353639231126,27.697768857425,28.6647331010604,29.5517573692821,30.465738425139,31.4103603709696,32.3763309865963,33.2943864298946,34.2327877169048,35.1637290500728,36.0774385604608,37.0335248643101,37.9841029423352,38.762738928054,39.7204751961675,40.6735735704989,41.6135307845509,42.5682042894394,43.5319920219584,44.5319920219584,45.4683423938936,46.4382171339972,47.4020848573444,48.3685359177037,49.2447569278764,50.2126336400813,51.1794742729993,52.2050601713657,53.1460397055981,54.1460397055981,55.0334748117091,55.9877495175472,56.9388326822936,57.9203768833668,58.9086957649579,59.8871171162931,60.8582402156828,61.8337978651679,62.8105579089497,63.7863275101063,64.7688323100001,65.756668819649,66.7385484343183,67.715724393586,68.6847340239383,69.6483700331648,70.6197374131909,71.5964174728404,72.5833631390612,73.5675810512449
Italy,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,1,1,1.33051768766177,1.90269138861788,2.02812489416913,1.95038237313025,2.05879044048738,2.4056509261297,2.15532493538371,2.42890259711578,2.74548633056723,3.22720563380994,3.29356704003097,3.37061833642167,3.2321524702615,3.20332832979696,3.05902865164332,3.62061118560694,3.74574067570402,3.88850647665852,4.17426600018689,3.79811652605087,4.03471319250592,4.4003318136431,4.73369919929632,4.93875310428773,5.16988361708691,5.32703382605169,5.35426449373221,5.53460729077783,5.88497690209617,6.25537572511821,6.70768389568985,7.13109423469034,7.61409153193487,8.12363754791283,8.70854726070111,9.39737495855518,10.0981339033469,10.6819849834292,11.2631951097523,11.8326894116241,12.327779782904,12.8920288981695,13.5431844082957,14.2559178866531,14.8939024535471,15.4847873030069,16.1110651483267,16.7097563366142,17.3786670812786,18.1294111966212,18.8856005051571,19.6555203114213,20.3352066623648,21.045985844502,21.7486053060575,22.4914861465814,23.3039198912232,24.0801238849829,24.7667281196934,25.5111628843525,26.2236945565741,27.0025181392396,27.7122692880866,28.4966508487691,29.2398640290614,29.9857877913068,30.7514839632144,31.5078254617712,32.2744119995408,33.105111140786,33.9621874380043,34.8477470686502,35.6949299806741,36.5476438339284,37.4090161475339,38.296504682212,39.2135451381978,40.13685627168,40.9925648261049,41.8956794537522,42.7879041573592,43.7025252913781,44.6081913973224,45.5356701238617,46.4873360796125,47.4004494707421,48.3296112193594,49.26141930372,50.1923614454718,51.1217073789069,52.0657742631238,53.0342307275667,53.9921055546302,54.9272630496241,55.8615886826908,56.8045786150511,57.7587091551322,58.7220505971599,59.700058619853,60.6651301825433,61.6299204391013,62.6105263887988,63.5538528290707,64.5243621629741,65.5028662893708,66.4723447661981,67.4415331134014,68.4195629757763,69.3783925213493,70.3607062834604,71.3232041156292,72.2866219562333,73.2540882459756,74.2314147391544
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.30081967473285,2.04856197412877,3.04856197412877,2.84735587995553,1.22244647816579,1.62126548735149,2.42321517484019,1,1.55590003511869,2.24635566468716,2,3,2.80741142576746,3.53086536757871,4.35433975195748,5.24610560645079,4.91745904896494,5.30049352668776,6.00513012445969,6.59523999902817,4.83400457045695,5.07317427068138,5.45151291003104,4.25857967706824,4.7811653123081,5.27680016187147,5.77635888279999,4.68426274075365,5.15051720410643,4.63810698955659,3.18491788779545,2.8191029459775,3.01305398306852,3.6166695207278,4.37398362757335,4.37568500309573,5.10512379790147,5.2382840512579,5.61596985580231,6.10185931611883,6.44892774024511,6.85384877430798,7.68814056598007,8.35174805893704,9.0622239628588,8.86228795301112,9.54211275437598,8.81951254307638,8.70359897855449,9.07343297060155,9.0262756804622,8.56552970873781,8.52979078035323,8.40137217474408,8.51476638322942,8.62438739880456,9.42735839174748,9.87497993516923,10.0477294917907,9.76618511936396,10.1030947560312,10.5088145004083,11.097493055071,11.8365460849933,12.3017338302299,12.6519071713189,13.0431905961912,13.1351319451115,13.4787786748671,13.8536831396787,13.974283435094,14.3701618073005,14.7676351952275,15.1156786725375,15.7151207269462,16.1703208445815,16.5555240255576,16.9539295485528,17.0429984763805,16.5712028836267,16.3560111465879,16.5022610642781,16.6378239613584,16.5743006509315,16.8676964653413,17.8676964653413,17.7507053714192,18.1775722010515,18.4600028131819,18.78819787724,19.2647674211695,19.9178800699466,20.4687670907104,20.9158519985036,21.2849719272358,22.2849719272358,22.4485728387409,22.2154174584354,22.8209307073791,23.3244996522047
US,New York,New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1.67807190511264,1,1.61566618856294,2.20825593081144,1.21857868850777,1.57352017375521,1.23519435281469,1.34915787533032,1.29611302557243,1.88659184671661,2.26841591737744,2.10490359869168,1,1.11158695154445,1.18691903152967,1.60519528365382,1.92602476600017,2.02895695405897,2.51459108044153,2.6708987773719,3.20071082577558,3.82354693503943,3.88462907111037,4.56381957784502,5.15114895148542,5.43810037826499,5.65621904616243,5.86103700662607,6.33842655138444,6.59109609711806,6.90851182042187,7.35005034691174,7.82094267573921,8.3133177246431,8.75330219270437,9.12282467857473,9.43038170689785,9.89246091353606,10.5448577560107,11.1950610484255,11.5314728203584,12.1454566267437,12.7175276511111,13.263016981215,13.9019354182794,14.6369875194387,15.3608042824991,16.0319814691459,16.6671195030444,17.18861762269,17.7177177117692,18.401972801411,19.1772455147438,19.9866624760258,20.7392698774977,21.4935744583277,22.298006155668,23.0680206489589,23.8642703582631,24.7449374449989,25.6284510429199,26.4977077691794,27.3296857864326,28.1967020306868,29.0646079480247,29.9788279400136,30.9042780731613,31.8397273617941,32.7505882628281,33.6459038011574,34.497852622106,35.4158687168158,36.3346272739931,37.2840711005708,38.2362390361742,39.1816807261403,40.0928841656185,41.0301892709469,41.9616387341066,42.8746413300417,43.8110066517201,44.7571035813451,45.6906681214978,46.5847236948782,47.4917758754425,48.4194618641,49.3661988618482,50.3209475941594,51.2583464649872,52.2106278585434,53.1585850191874,54.1103307629271,55.0578727611502,56.014356961706,56.9670599988736,57.9202801968791,58.8644333926307,59.812452577196,60.7540030861857,61.6824445275253,62.6310595959011,63.5798998656676,64.5358745137067
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.19619625882416,1.59785421899815,1.80064557226682,1.71536440530709,1.70552596636856,1.33201231054735,1.41179697599639,1.5850131608751,1.45458954035076,1.52920635105234,1.58555565219489,2.06305289428121,2.64461086391981,2.92884904314016,3.01608331861509,3.36760031229135,3.93677941050642,4.5513581313031,5.1775013454156,5.70926927440606,6.11998031856524,6.25954988412367,6.31330855866036,6.60653345233897,6.95316756068623,7.32115934559571,7.80183667727714,8.22539900597618,8.81251368655404,9.40821701341658,9.87636035976237,10.2269451611246,10.3449544015035,10.2663486747237,10.0024529772581,9.66559462387779,9.38797533573113,8.86339162457559,8.5211793237047,8.56673795727331,8.80153383195568,9.18636806541265,9.63250952385967,10.1181829015724,10.7016884657415,11.3438280607706,12.0127238005934,12.7383603326313,13.4154662219577,14.1229696428359,14.8449401824327,15.5616780293073,16.2918872813303,17.0380119444875,17.7770294964968,18.5387358181181,19.3242276199404,20.1180527214078,20.9144024769542,21.7011470100032,22.5076909226474,23.3429525367735,24.158485242084,24.9796136162634,25.7818198391925,26.6138205214701,27.4274621607209,28.2497496420564,29.0887211032491,29.9178057461651,30.7754427636234,31.6037814694627,32.3910887069743,33.1639538247999,33.8654775125967,34.588693989947,35.3029203691332,36.0262133527809,36.7540565329102,37.4239402726542,38.1376240656538,38.7463936627177,39.3812786428524,39.9590140140247,40.5687447446126,41.1735819356015,41.6389821601771,42.1356276739042,42.5527047052747,42.9476691967868,43.2388500203392,43.7229806551469,44.1710869899624,44.6321880378754,45.147210290516,45.5345085052166,45.8510948850512,45.9800984610485,46.2533871500115,46.4314093684981,46.4784124481508,46.4732772431508,46.3764443746286,46.0561521893351,45.9433050692614,46.0685125021156,46.0844667136012,46.1062300183648,46.1962928315989,46.3151985564388,46.3480669537416,46.2104965295518,46.0952518645603,45.94223920224,45.7026735849456,45.2840631209238
