date,China-Hubei,Japan-,China-Hong Kong
2020-01-22,444,2,0
2020-01-23,444,2,2
2020-01-24,549,2,2
2020-01-25,761,2,5
2020-01-26,1058,4,8
2020-01-27,1423,4,8
2020-01-28,3554,7,8
2020-01-29,3554,7,10
2020-01-30,4903,11,10
2020-01-31,5806,15,12
2020-02-01,7153,20,13
2020-02-02,11177,20,15
2020-02-03,13522,20,15
2020-02-04,16678,22,17
2020-02-05,19665,22,21
2020-02-06,22112,22,24
2020-02-07,24953,25,25
2020-02-08,27100,25,26
2020-02-09,29631,26,29
2020-02-10,31728,26,38
2020-02-11,33366,26,49
2020-02-12,33366,28,50
2020-02-13,48206,28,53
2020-02-14,54406,29,56
2020-02-15,56249,43,56
2020-02-16,58182,59,57
2020-02-17,59989,66,60
2020-02-18,61682,74,62
2020-02-19,62031,84,63
2020-02-20,62442,94,68
2020-02-21,62662,105,68
2020-02-22,64084,122,69
2020-02-23,64084,147,74
2020-02-24,64287,159,79
2020-02-25,64786,170,84
2020-02-26,65187,189,91
2020-02-27,65596,214,92
2020-02-28,65914,228,94
2020-02-29,66337,241,95
2020-03-01,66907,256,96
2020-03-02,67103,274,100
2020-03-03,67217,293,100
2020-03-04,67332,331,105
2020-03-05,67466,360,105
2020-03-06,67592,420,107
2020-03-07,67666,461,108
2020-03-08,67707,502,114
2020-03-09,67743,511,115
2020-03-10,67760,581,120
2020-03-11,67773,639,126
2020-03-12,67781,639,129
2020-03-13,67786,701,134
2020-03-14,67790,773,140
2020-03-15,67794,839,145
2020-03-16,67798,839,155
2020-03-17,67799,878,162
2020-03-18,67800,889,181
2020-03-19,67800,924,208
2020-03-20,67800,963,256
2020-03-21,67800,1007,273
2020-03-22,67800,1101,317
2020-03-23,67800,1128,356
2020-03-24,67801,1193,386
2020-03-25,67801,1307,410
2020-03-26,67801,1387,453
2020-03-27,67801,1468,519
2020-03-28,67801,1693,561
2020-03-29,67801,1866,641
2020-03-30,67801,1866,682
2020-03-31,67801,1953,714
2020-04-01,67802,2178,765
2020-04-02,67802,2495,802
2020-04-03,67802,2617,845
2020-04-04,67803,3139,862
2020-04-05,67803,3139,890
2020-04-06,67803,3654,914
2020-04-07,67803,3906,935
2020-04-08,67803,4257,960
2020-04-09,67803,4667,973
2020-04-10,67803,5530,989
2020-04-11,67803,6005,1000
2020-04-12,67803,6748,1004
2020-04-13,67803,7370,1009
2020-04-14,67803,7645,1012
2020-04-15,67803,8100,1017
2020-04-16,67803,8626,1017
2020-04-17,68128,9787,1021
2020-04-18,68128,10296,1024
2020-04-19,68128,10797,1025
2020-04-20,68128,10797,1025
2020-04-21,68128,11135,1029
2020-04-22,68128,11512,1033
2020-04-23,68128,12368,1035
2020-04-24,68128,12829,1035
2020-04-25,68128,13231,1037
2020-04-26,68128,13441,1037
2020-04-27,68128,14153,1037
2020-04-28,68128,13736,1037
2020-04-29,68128,13895,1037
2020-04-30,68128,14088,1037
2020-05-01,68128,14305,1039
2020-05-02,68128,14571,1039
2020-05-03,68128,14877,1039
2020-05-04,68128,15078,1040
2020-05-05,68128,15253,1040
2020-05-06,68128,15253,1040
2020-05-07,68128,15477,1044
2020-05-08,68128,15575,1044
2020-05-09,68129,15663,1044
2020-05-10,68134,15777,1047
2020-05-11,68134,15847,1047
2020-05-12,68134,15968,1047
2020-05-13,68134,16049,1050
2020-05-14,68134,16120,1051
2020-05-15,68134,16203,1052
2020-05-16,68134,16237,1052
2020-05-17,68134,16285,1055
2020-05-18,68135,16305,1055
2020-05-19,68135,16367,1055
2020-05-20,68135,16367,1055
2020-05-21,68135,16424,1055
2020-05-22,68135,16513,1065
2020-05-23,68135,16536,1065
2020-05-24,68135,16550,1065
2020-05-25,68135,16581,1065
2020-05-26,68135,16623,1065
2020-05-27,68135,16651,1066
2020-05-28,68135,16598,1066
2020-05-29,68135,16673,1079
2020-05-30,68135,16716,1082
2020-05-31,68135,16751,1084
2020-06-01,68135,16787,1087
2020-06-02,68135,16837,1093
2020-06-03,68135,16867,1093
2020-06-04,68135,16911,1099
2020-06-05,68135,16958,1102
2020-06-06,68135,17000,1105
2020-06-07,68135,17039,1106
2020-06-08,68135,17060,1107
2020-06-09,68135,17111,1107
2020-06-10,68135,17146,1107
