date,US-New York-New York City,Japan-,US-New York-Nassau
2020-03-07,12,461,4
2020-03-08,14,502,5
2020-03-09,20,511,17
2020-03-10,37,581,19
2020-03-11,52,639,28
2020-03-12,96,639,41
2020-03-13,155,701,51
2020-03-14,269,773,79
2020-03-15,330,839,98
2020-03-16,464,839,109
2020-03-17,645,878,131
2020-03-18,1339,889,183
2020-03-19,2468,924,382
2020-03-20,4408,963,754
2020-03-21,6211,1007,1234
2020-03-22,9045,1101,1900
2020-03-23,12305,1128,2442
2020-03-24,14905,1193,2869
2020-03-25,20011,1307,3285
2020-03-26,23112,1387,3914
2020-03-27,25399,1468,4657
2020-03-28,30766,1693,5537
2020-03-29,33768,1866,6445
2020-03-30,38087,1866,7344
2020-03-31,43139,1953,8544
2020-04-01,47440,2178,9555
2020-04-02,51810,2495,10587
2020-04-03,57160,2617,12024
2020-04-04,63307,3139,13346
2020-04-05,67552,3139,14398
2020-04-06,68776,3654,15616
2020-04-07,76876,3906,16610
2020-04-08,81803,4257,18548
2020-04-09,87028,4667,20140
2020-04-10,92384,5530,21512
2020-04-11,98308,6005,22584
2020-04-12,103208,6748,23553
2020-04-13,106764,7370,24358
2020-04-14,110465,7645,25250
2020-04-15,118302,8100,26715
