date,Czechia-,West Bank and Gaza-,Indonesia-,Libya-,United Arab Emirates-,Paraguay-,Venezuela-,Israel-,Nepal-,United Kingdom-,Ukraine-,Argentina-,US-Texas-Harris,Turkey-,Costa Rica-
2020-03-10,41,26,27,0,74,1,0,75,1,887,1,17,7,0,9
2020-03-11,91,30,34,0,74,5,0,79,1,1298,1,19,7,1,13
2020-03-12,94,30,34,0,85,5,0,100,1,1787,1,19,9,1,22
2020-03-13,141,31,69,0,85,6,0,126,1,2266,3,31,10,5,23
2020-03-14,189,35,96,0,85,6,2,155,1,2630,3,34,11,5,26
2020-03-15,253,38,117,0,98,6,10,213,1,3072,3,45,13,6,27
2020-03-16,298,38,134,0,98,8,17,218,1,3684,7,56,13,18,35
2020-03-17,396,39,172,0,98,9,33,250,1,4452,14,68,16,47,41
2020-03-18,464,41,227,0,113,11,36,304,1,5451,14,79,28,98,50
2020-03-19,694,44,311,0,140,11,42,427,1,6506,16,97,35,192,69
2020-03-20,833,47,369,0,140,13,42,529,1,7760,29,128,55,359,89
2020-03-21,995,48,450,0,153,18,70,712,1,8957,47,158,68,670,117
2020-03-22,1120,52,514,0,153,22,70,883,1,10333,73,266,74,1236,134
2020-03-23,1236,59,579,0,198,22,77,1071,2,12668,73,301,78,1529,158
2020-03-24,1394,59,686,1,248,27,84,1238,2,15039,97,387,134,1872,177
2020-03-25,1654,59,790,1,333,37,91,2369,3,17732,145,387,185,2433,201
2020-03-26,1925,84,893,1,333,41,107,2693,3,20816,196,502,203,3629,231
2020-03-27,2279,91,1046,1,405,52,107,3035,4,24017,310,589,229,5698,263
2020-03-28,2631,98,1155,3,468,56,119,3619,5,26839,356,690,445,7402,295
2020-03-29,2817,109,1285,8,570,59,119,4247,5,29696,475,745,526,9217,314
2020-03-30,3001,116,1414,8,611,64,135,4695,5,33969,548,820,563,10827,330
2020-03-31,3308,119,1528,10,664,65,135,5358,5,38484,645,1054,680,13531,347
2020-04-01,3508,134,1677,10,814,69,143,6092,5,43398,794,1054,847,15679,375
2020-04-02,3858,161,1790,11,1024,77,146,6857,6,48263,897,1133,895,18135,396
2020-04-03,4091,194,1986,11,1264,92,153,7428,6,53178,1072,1265,1036,20921,416
2020-04-04,4472,217,2092,18,1505,96,155,7851,9,57198,1225,1451,1284,23934,435
2020-04-05,4587,237,2273,18,1799,104,159,8430,9,60792,1308,1451,1395,27069,454
2020-04-06,4822,254,2491,19,2076,113,165,8904,9,66067,1319,1554,1809,30217,467
2020-04-07,5017,261,2738,20,2359,115,165,9248,9,71517,1462,1628,2146,34109,483
2020-04-08,5312,263,2956,21,2659,119,167,9404,9,76646,1668,1715,2341,38226,502
2020-04-09,5569,263,3293,24,2990,124,171,9968,9,81498,1892,1795,3047,42282,539
2020-04-10,5732,267,3512,24,3360,129,171,10408,9,85813,2203,1975,3261,47029,558
2020-04-11,5831,268,3842,24,3736,133,175,10743,9,89390,2511,1975,3561,52167,577
2020-04-12,5991,271,4241,25,4123,134,181,11145,12,92885,2777,2142,3629,56956,595
2020-04-13,6059,273,4557,26,4521,147,189,11586,14,97068,3102,2208,3747,61049,612
2020-04-14,6111,284,4839,35,4933,159,189,12046,16,101393,3372,2277,3907,65111,618
2020-04-15,6216,291,5136,48,5365,161,197,12501,16,106458,3764,2443,4097,69392,626
2020-04-16,6433,294,5516,49,5825,174,204,12758,16,111756,4161,2571,4306,74193,642
2020-04-17,6549,307,5923,49,6302,199,204,12982,30,116721,4662,2669,4460,78546,649
2020-04-18,6606,313,6248,49,6302,202,227,13265,31,121437,5106,2758,4653,82329,655
