date,US-New York-New York City,Israel-,US-Arizona-Maricopa,US-New York-Nassau,China-Hong Kong,Singapore-
2020-03-07,12,43,2,4,108,138
2020-03-08,14,61,2,5,114,150
2020-03-09,20,61,2,17,115,150
2020-03-10,37,75,2,19,120,160
2020-03-11,52,79,3,28,126,178
2020-03-12,96,100,3,41,129,178
2020-03-13,155,126,3,51,134,200
2020-03-14,269,155,4,79,140,212
2020-03-15,330,213,4,98,145,226
2020-03-16,464,218,8,109,155,243
2020-03-17,646,250,9,131,162,266
2020-03-18,1344,304,11,183,181,313
2020-03-19,2477,427,22,382,208,345
2020-03-20,4419,529,34,754,256,385
2020-03-21,6226,712,49,1234,273,432
2020-03-22,9065,883,81,1900,317,455
2020-03-23,12329,1071,139,2442,356,509
2020-03-24,14943,1238,199,2869,386,558
2020-03-25,20061,2369,251,3285,410,631
2020-03-26,23182,2693,299,3914,453,683
2020-03-27,25509,3035,399,4657,519,732
2020-03-28,30919,3619,454,5537,561,802
2020-03-29,33983,4247,546,6445,641,844
2020-03-30,38375,4695,690,7344,682,879
2020-03-31,43518,5358,791,8544,714,926
2020-04-01,47914,6092,871,9555,765,1000
2020-04-02,52400,6857,961,10587,802,1049
2020-04-03,57941,7428,1049,12024,845,1114
2020-04-04,64274,7851,1171,13346,862,1189
2020-04-05,68726,8430,1326,14398,890,1309
2020-04-06,73553,8904,1433,15616,914,1375
2020-04-07,78498,9248,1495,16610,935,1481
2020-04-08,83673,9404,1559,18548,960,1623
2020-04-09,89127,9968,1689,20140,973,1910
2020-04-10,94702,10408,1741,21512,989,2108
2020-04-11,100840,10743,1891,22584,1000,2299
2020-04-12,105939,11145,1960,23553,1004,2532
2020-04-13,109706,11586,2020,24358,1009,2918
2020-04-14,113632,12046,2056,25250,1012,3252
2020-04-15,121653,12501,2146,26715,1017,3699
2020-04-16,126623,12758,2264,27772,1017,4427
2020-04-17,131003,12982,2404,28539,1021,5050
2020-04-18,135052,13265,2491,29180,1024,5992
2020-04-19,138370,13491,2589,30013,1025,6588
2020-04-20,140881,13713,2636,30677,1025,8014
2020-04-21,143547,13942,2738,31079,1029,9125
2020-04-22,146787,14498,2846,31555,1033,10141
2020-04-23,150327,14803,2970,32124,1035,11178
2020-04-24,155081,15058,3116,32765,1035,12075
2020-04-25,159851,15298,3234,33798,1037,12693
2020-04-26,163106,15443,3359,34522,1037,13624
2020-04-27,165463,15555,3457,34865,1037,14423
2020-04-28,167487,15728,3578,35085,1037,14951
2020-04-29,170124,15834,3723,35505,1037,15641
2020-04-30,172784,15946,3972,35854,1037,16169
2020-05-01,174931,16101,4156,36161,1039,17101
2020-05-02,177490,16185,4421,36519,1039,17548
2020-05-03,179728,16208,4585,36780,1039,18205
2020-05-04,181034,16246,4751,36965,1040,18778
2020-05-05,182318,16289,4929,37152,1040,19410
2020-05-06,183770,16310,5138,37350,1040,20198
2020-05-07,185653,16381,5196,37593,1044,20939
2020-05-08,187157,16436,5525,37812,1044,21707
2020-05-09,188663,16454,5779,38028,1044,22460
