date,New York-New York City,New York-Nassau,Arizona-Maricopa
2020-01-23,,,
2020-01-26,0,0,1
2020-01-29,0,0,0
2020-02-01,0,0,0
2020-02-04,0,0,0
2020-02-07,0,0,0
2020-02-10,0,0,0
2020-02-13,0,0,0
2020-02-16,0,0,0
2020-02-19,0,0,0
2020-02-22,0,0,0
2020-02-25,0,0,0
2020-02-28,0,0,0
2020-03-02,1,0,0
2020-03-05,3,1,1
2020-03-08,10,4,0
2020-03-11,38,23,1
2020-03-14,217,51,1
2020-03-17,376,52,5
2020-03-20,3763,623,25
2020-03-23,7897,1688,105
2020-03-26,10807,1472,160
2020-03-29,10656,2531,247
2020-04-01,13672,3110,325
2020-04-04,15867,3791,300
2020-04-07,13569,3264,324
2020-04-10,15508,4902,246
