state,county,01-22,01-25,01-28,01-31,02-03,02-06,02-09,02-12,02-15,02-18,02-21,02-24,02-27,03-01,03-04,03-07,03-10,03-13,03-16,03-19,03-22,03-25,03-28,03-31,04-03,04-06,04-09
New York,New York City,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,25,118,309,2004,6577,10966,10755,12373,14021,11616,18252
New York,Nassau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,32,58,273,1518,1385,2252,3007,3480,3592,4524
New York,Suffolk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,34,115,856,1226,1878,2575,3441,4319,2940
New York,Westchester,,0,0,0,0,0,0,0,0,0,0,0,0,0,9,60,38,50,62,578,1076,2818,3184,2092,2383,1943,2711
Illinois,Cook,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,11,23,36,203,526,613,1195,1883,1977,2255,2687
Michigan,Wayne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,106,358,645,1194,1419,2361,2174,1823
New Jersey,Bergen,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,44,236,160,362,1019,1071,1957,1996,1481
California,Los Angeles,,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7,6,20,54,137,190,378,1005,1207,1555,1794,1595
New York,Rockland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,7,37,402,614,827,967,1426,1414,962
New Jersey,Essex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,43,109,209,705,814,1167,1426,1576
Florida,Miami-Dade,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,78,127,261,632,1002,1240,1307,1227
New Jersey,Hudson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,36,71,134,511,835,1229,1560,1484
Louisiana,Orleans,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,67,157,199,376,471,536,1642,1089,677
New Jersey,Union,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,21,95,138,480,676,1069,1198,1518
Pennsylvania,Philadelphia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,25,58,166,452,606,969,1327,1418
Connecticut,Fairfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,21,73,106,338,362,962,847,1002,1163
New Jersey,Passaic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,30,57,160,353,686,922,1540,934
New Jersey,Middlesex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,49,83,169,492,469,848,1138,1365
Louisiana,Jefferson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,18,48,115,175,385,449,1302,1035,950
Michigan,Oakland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,91,172,266,475,602,920,840,867
New York,Orange,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,40,196,391,463,459,837,1000,693
Massachusetts,Middlesex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,19,23,36,80,247,396,498,862,748,1095
Massachusetts,Suffolk,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,16,6,16,30,54,216,501,530,810,746,1112
Washington,King,,0,0,0,0,0,0,0,0,0,0,0,0,11,22,39,119,138,160,204,343,324,719,253,457,544,555
New Jersey,Monmouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,29,115,155,468,359,603,802,703
New Jersey,Ocean,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,30,69,120,402,398,663,689,719
Texas,Harris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,3,22,39,111,260,235,356,773,1238
Michigan,Macomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,49,85,141,253,319,707,599,624
New Jersey,Morris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,93,104,219,399,457,658,689
Florida,Broward,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,18,57,121,195,408,399,379,477,405
Indiana,Marion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,12,63,144,358,380,465,527,459
Massachusetts,Essex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,12,41,117,295,312,454,415,683
